id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|Who wrote the autobiographical essay titled The Crack-Up?|Ernest Hemingway|F. Scott Fitzgerald|William Faulkner|T. S. Eliot|F. Scott Fitzgerald|MJC-5_U3_T3.3|30
2|In which magazine was The Crack-Up originally published in 1936?|The New Yorker|Esquire|Harper's Magazine|The Atlantic|Esquire|MJC-5_U3_T3.3|30
3|According to Fitzgerald in opening line, what is the test of a first-rate intelligence?|To hold two opposed ideas in mind at the same time and still retain the ability to function|To memorize facts without forgetting|To defeat an adversary in debate|To adapt to any social situation instantly|To hold two opposed ideas in mind at the same time and still retain the ability to function|MJC-5_U3_T3.3|30
4|What primary condition does Fitzgerald analyze in The Crack-Up?|Physical illness|Financial bankruptcy|Emotional and mental breakdown|Political disillusionment|Emotional and mental breakdown|MJC-5_U3_T3.3|30
5|Fitzgerald divides all life into what process?|A process of creation and destruction|A process of breakdown|A process of growth and decay|A process of success and failure|A process of breakdown|MJC-5_U3_T3.3|30
6|Which two types of blows does Fitzgerald describe in the essay?|Physical and mental|Blows from friends and blows from enemies|Sudden big blows and gradual internal blows|Financial blows and social blows|Sudden big blows and gradual internal blows|MJC-5_U3_T3.3|30
7|How does Fitzgerald describe the realization of his own emotional breakdown?|It came like a sudden thunderclap|It happened all at once in a single day|It occurred quietly and gradually before he realized it|It was caused by a physical accident|It occurred quietly and gradually before he realized it|MJC-5_U3_T3.3|30
8|What era of American history is closely associated with F. Scott Fitzgerald's rise to fame?|The Gilded Age|The Jazz Age|The Beat Generation|The Lost Generation|The Jazz Age|MJC-5_U3_T3.3|30
9|What famous novel by Fitzgerald preceded the personal crisis depicted in The Crack-Up?|Tender Is the Night|The Great Gatsby|This Side of Paradise|The Last Tycoon|The Great Gatsby|MJC-5_U3_T3.3|30
10|What metaphorical term does Fitzgerald use to describe his depleted capacity for emotion?|A broken mirror|Emotional bankruptcy|A burnt-out torch|A shattered glass|Emotional bankruptcy|MJC-5_U3_T3.3|30
11|What did Fitzgerald feel he had lost during his emotional crack-up?|His writing style|His ability to feel genuine human sympathy and enthusiasm|His memory of childhood|His belief in democracy|His ability to feel genuine human sympathy and enthusiasm|MJC-5_U3_T3.3|30
