id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|Who wrote the poem Passage to India?|Walt Whitman|Robert Frost|Emily Dickinson|Edgar Allan Poe|Walt Whitman|MJC-5_U4_T4.3|30
2|In which year was Passage to India first published in its complete form?|1860|1871|1881|1892|1871|MJC-5_U4_T4.3|30
3|What major historical achievement is celebrated in the opening section of Passage to India?|The invention of the telephone|The completion of the Transcontinental Railroad and Suez Canal|The discovery of America|The end of World War I|The completion of the Transcontinental Railroad and Suez Canal|MJC-5_U4_T4.3|30
4|Which engineering marvel opened in 1869 connecting the Mediterranean and Red Seas is celebrated in the poem?|Panama Canal|Suez Canal|Erie Canal|Kiel Canal|Suez Canal|MJC-5_U4_T4.3|30
5|Which major American transportation feat finished in 1869 is mentioned in the poem?|The Union Pacific transcontinental express railway|The Boston Subway|The Erie Canal route|The Trans-Alaskan Pipeline|The Union Pacific transcontinental express railway|MJC-5_U4_T4.3|30
6|What third major technological breakthrough alongside the Suez Canal and American railway is celebrated in the opening lines?|The Atlantic telegraph cable|The steam engine|The radio|The electric light bulb|The Atlantic telegraph cable|MJC-5_U4_T4.3|30
7|In the opening line Singing my days, what does the poet sing of?|The wonders of ancient wars|The present day and its great engineering achievements|The return of spring|The glory of kings|The present day and its great engineering achievements|MJC-5_U4_T4.3|30
8|What phrase does Whitman use in Section 1 to describe modern engineering feats?|The modern wonders|Wonders of the world|Works of engineering scale|Scientific miracles|The modern wonders|MJC-5_U4_T4.3|30
9|According to Whitman in lines 1-68, what do modern scientific achievements ultimately serve to connect?|Only wealthy nations|Trade and commerce markets|The past with the present, and the human soul with the physical world|Different armies across the globe|The past with the present, and the human soul with the physical world|MJC-5_U4_T4.3|30
10|What meta-physical journey does the physical passage to India symbolize for Whitman?|A journey back to childhood|A journey of the human soul to spiritual origins and divine truth|A voyage to conquer new lands|An escape from urban civilization|A journey of the human soul to spiritual origins and divine truth|MJC-5_U4_T4.3|30
11|What phrase does Whitman repeat in the poem as a spiritual and physical call to action?|Passage to India!|O Captain! My Captain!|Praise to the modern age!|Sail on, brave ship!|Passage to India!|MJC-5_U4_T4.3|30
12|How does Whitman view the relationship between the Past and the Present in lines 1-15?|The past is useless and should be forgotten|The present is built upon and grows out of the past|The past was superior in every way|The present has completely destroyed the past|The present is built upon and grows out of the past|MJC-5_U4_T4.3|30
13|What image does Whitman use in Section 1 to describe the physical accomplishments of the present age?|Gleaming towers and ships|Tablets of stone|Golden crowns|Silent wilderness|Gleaming towers and ships|MJC-5_U4_T4.3|30
14|Who is described as the main driver behind the modern technological advancements in Passage to India?|Individual kings|The collective ingenuity and labor of humanity|Nature itself|Ancient gods|The collective ingenuity and labor of humanity|MJC-5_U4_T4.3|30
15|In lines 1-68, what continent is described as being bridged by the Pacific railroad?|Europe|Asia|The American continent|Africa|The American continent|MJC-5_U4_T4.3|30
16|What ocean does the newly completed Transcontinental Railway connect to the Atlantic Ocean?|Indian Ocean|Arctic Ocean|Pacific Ocean|Southern Ocean|Pacific Ocean|MJC-5_U4_T4.3|30
17|How does Whitman refer to the Suez Canal in Section 2?|A ditch in the sand|The channel cut through the Isthmus|A river of gold|The royal passage|The channel cut through the Isthmus|MJC-5_U4_T4.3|30
18|What is the name of the Isthmus through which the Suez Canal was carved?|Isthmus of Panama|Isthmus of Suez|Isthmus of Corinth|Isthmus of Kra|Isthmus of Suez|MJC-5_U4_T4.3|30
19|What historical explorer's vision of reaching India by sailing west is fulfilled by modern technology in the poem?|Christopher Columbus|Vasco da Gama|Ferdinand Magellan|Marco Polo|Christopher Columbus|MJC-5_U4_T4.3|30
20|In Section 3, what vision does Whitman describe as he contemplates the steamship passing through the Suez Canal?|The procession of ancient nations and religions|A battle between ships|A quiet desert landscape|A storm at sea|The procession of ancient nations and religions|MJC-5_U4_T4.3|30
