id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|Who wrote the poem Stopping by Woods on a Snowy Evening?|Robert Frost|Walt Whitman|Edgar Allan Poe|Sherman Alexie|Robert Frost|MJC-5_U4_T4.7|30
2|In which year was Stopping by Woods on a Snowy Evening published?|1916|1923|1930|1938|1923|MJC-5_U4_T4.7|30
3|Which poetry collection included Stopping by Woods on a Snowy Evening?|Mountain Interval|New Hampshire|A Boy's Will|North of Boston|New Hampshire|MJC-5_U4_T4.7|30
4|Where is the owner of the woods living according to the first stanza?|In the forest|In the village|In the city|In a nearby cabin|In the village|MJC-5_U4_T4.7|30
5|Why will the owner of the woods not see the speaker stopping?|Because he is blind|Because his house is in the village|Because he is sleeping|Because he left the country|Because his house is in the village|MJC-5_U4_T4.7|30
6|What is the speaker watching in the woods?|Wild animals|His woods fill up with snow|The frozen river|The stars in the night|His woods fill up with snow|MJC-5_U4_T4.7|30
7|How does the speaker's little horse react to stopping in the woods?|It runs away|It thinks it queer to stop without a farmhouse near|It neighs loudly|It lies down to rest|It thinks it queer to stop without a farmhouse near|MJC-5_U4_T4.7|30
8|Where do the speaker and his horse stop between?|The woods and frozen lake|The house and the barn|The mountain and the river|The road and the fence|The woods and frozen lake|MJC-5_U4_T4.7|30
9|What time of the year is described in the second stanza?|The coldest evening of the year|The first day of spring|A hot summer night|An autumn afternoon|The coldest evening of the year|MJC-5_U4_T4.7|30
10|What action does the little horse take to ask if there is some mistake?|It shakes its harness bells|It taps its hoof on the ice|It whinnies softly|It turns around|It shakes its harness bells|MJC-5_U4_T4.7|30
11|Besides the harness bells, what are the only other sounds heard in the woods?|The howling wind|The sweep of easy wind and downy flake|Birds singing|Footsteps in the snow|The sweep of easy wind and downy flake|MJC-5_U4_T4.7|30
12|What three adjectives are used to describe the woods in the final stanza?|Dark, cold, and quiet|Lovely, dark and deep|Tall, green, and silent|Frozen, mysterious, and vast|Lovely, dark and deep|MJC-5_U4_T4.7|30
13|Why can the speaker not stay longer in the lovely woods?|Because it starts raining|Because he has promises to keep|Because his horse is tired|Because the owner arrives|Because he has promises to keep|MJC-5_U4_T4.7|30
14|Which line is repeated at the very end of the poem?|The woods are lovely, dark and deep|And miles to go before I sleep|Whose woods these are I think I know|The darkest evening of the year|And miles to go before I sleep|MJC-5_U4_T4.7|30
15|What is the rhyme scheme of the first stanza (AABA)?|aaba|aabb|abab|abba|aaba|MJC-5_U4_T4.7|30
16|How does the interlocking rhyme scheme function across the first three stanzas?|The unrhymed line of one stanza becomes the main rhyme for the next stanza|All stanzas use the same rhyme|Lines rhyme randomly|Every couplet rhymes with the previous one|The unrhymed line of one stanza becomes the main rhyme for the next stanza|MJC-5_U4_T4.7|30
17|What is the rhyme scheme of the final stanza?|aaba|bccc|dddd|abab|dddd|MJC-5_U4_T4.7|30
18|What poetic meter is used in Stopping by Woods on a Snowy Evening?|Iambic Pentameter|Iambic Tetrameter|Trochaic Tetrameter|Anapestic Trimeter|Iambic Tetrameter|MJC-5_U4_T4.7|30
19|How many stanzas make up the poem?|Three|Four|Five|Six|Four|MJC-5_U4_T4.7|30
20|How many lines are in each stanza of the poem?|Three|Four|Five|Six|Four|MJC-5_U4_T4.7|30
21|What does the snow-covered dark woods symbolize?|Warfare|The beauty, temptation, and serenity of nature or death|Urban development|Financial success|The beauty, temptation, and serenity of nature or death|MJC-5_U4_T4.7|30
22|What does the repetition of And miles to go before I sleep metaphorically represent?|The physical distance home|The duties, obligations, and journey of life before death|A race to win|The passage of hours in a day|The duties, obligations, and journey of life before death|MJC-5_U4_T4.7|30
23|What does sleep symbolize in the final lines of the poem?|Nighttime rest|Death or final peace|Forgetfulness|Dreaming|Death or final peace|MJC-5_U4_T4.7|30
24|What does the horse represent in contrast to the speaker's contemplative nature?|Wild instinct|Practicality, duty, and civilization's common sense|Fear and anxiety|Aggression|Practicality, duty, and civilization's common sense|MJC-5_U4_T4.7|30
25|What conflict is central to the speaker's mind in the poem?|The attraction of peaceful nature versus social obligations and duty|Man versus animal|Rich versus poor|Winter versus summer|The attraction of peaceful nature versus social obligations and duty|MJC-5_U4_T4.7|30
26|Which line shows the personification of the horse?|My little horse must think it queer|He gives his harness bells a shake|To ask if there is some mistake|All of the above|All of the above|MJC-5_U4_T4.7|30
27|What sound imagery is created by downy flake?|Soft, silent falling snow|Loud crashing thunder|Crunching footsteps|Ringing metal|Soft, silent falling snow|MJC-5_U4_T4.7|30
28|What kind of day is depicted in the poem?|A warm spring afternoon|The darkest evening of the year|A foggy morning|A stormy night|The darkest evening of the year|MJC-5_U4_T4.7|30
29|What element of nature is NOT mentioned in the poem?|Woods|Frozen lake|Snow|Thunderstorm|Thunderstorm|MJC-5_U4_T4.7|30
30|What primary sense is appealed to in the second stanza?|Taste|Sight and touch|Smell|Hearing|Sight and touch|MJC-5_U4_T4.7|30
31|What feeling does the solitude of the woods evoke in the speaker?|Terror|Peace, fascination, and slight melancholy|Extreme rage|Hilarious joy|Peace, fascination, and slight melancholy|MJC-5_U4_T4.7|30
32|Which line opens the second stanza?|He gives his harness bells a shake|My little horse must think it queer|Between the woods and frozen lake|The woods are lovely, dark and deep|My little horse must think it queer|MJC-5_U4_T4.7|30
33|Which word in the third stanza describes the wind?|Harsh|Easy|Brisk|Fierce|Easy|MJC-5_U4_T4.7|30
34|What does the word queer mean in the context of the poem?|Strange or unusual|Dangerous|Exciting|Boring|Strange or unusual|MJC-5_U4_T4.7|30
35|What keeps the speaker from staying in the woods forever?|The cold weather|His promises to keep|His horse pulling away|The owner catching him|His promises to keep|MJC-5_U4_T4.7|30
36|Which famous Pulitzer-Prize winning poet wrote this poem after pulling an all-nighter?|Robert Frost|Walt Whitman|Langston Hughes|Sylvia Plath|Robert Frost|MJC-5_U4_T4.7|30
37|At what time of day did Robert Frost complete writing this poem in one sitting?|At noon|In the morning after writing all night|At midnight|In the late afternoon|In the morning after writing all night|MJC-5_U4_T4.7|30
38|What longer poem had Frost just finished writing before composing Stopping by Woods on a Snowy Evening?|New Hampshire|The Death of the Hired Man|Mending Wall|Birches|New Hampshire|MJC-5_U4_T4.7|30
39|Which U.S. President loved this poem and had its final lines quoted frequently?|George Washington|John F. Kennedy|Abraham Lincoln|Franklin D. Roosevelt|John F. Kennedy|MJC-5_U4_T4.7|30
40|What tone characterizes the opening lines of the poem?|Reflective and quiet|Aggressive|Panic-stricken|Sarcastic|Reflective and quiet|MJC-5_U4_T4.7|30
41|What is the setting of the poem?|A busy market square|A lonely road by snow-covered woods in winter|A farmyard in autumn|A sea coast in winter|A lonely road by snow-covered woods in winter|MJC-5_U4_T4.7|30
42|What figure of speech is used in He gives his harness bells a shake / To ask if there is some mistake?|Personification|Hyperbole|Simile|Oxymoron|Personification|MJC-5_U4_T4.7|30
43|What imagery is invoked by harness bells?|A quiet metallic jingle breaking the stillness of nature|A alarm siren|A church bell ringing|A musical concert|A quiet metallic jingle breaking the stillness of nature|MJC-5_U4_T4.7|30
44|What aspect of nature does Frost emphasize in the third stanza?|Its violent force|Its gentle, quiet stillness|Its terrifying animals|Its vibrant colors|Its gentle, quiet stillness|MJC-5_U4_T4.7|30
45|What is the primary theme regarding human life in Stopping by Woods on a Snowy Evening?|The balance between personal desires/rest and moral duties/responsibilities|The joy of horse riding|The necessity of buying land|The danger of winter weather|The balance between personal desires/rest and moral duties/responsibilities|MJC-5_U4_T4.7|30
46|How does the speaker view the owner of the woods?|With jealousy|With casual detachment and awareness of boundary|With intense fear|As a close personal friend|With casual detachment and awareness of boundary|MJC-5_U4_T4.7|30
47|What does the word promises in line 14 suggest?|Legal contracts|Social duties, familial ties, and life commitments|Financial debts|New Year resolutions|Social duties, familial ties, and life commitments|MJC-5_U4_T4.7|30
48|What quality of Frost's poetry is best exemplified in this poem?|Simplicity of language combined with deep philosophical symbolism|Complex technical jargon|Unrhymed chaotic free verse|Surrealist dream imagery|Simplicity of language combined with deep philosophical symbolism|MJC-5_U4_T4.7|30
49|How does the poem end emotionally?|With panic|With a calm, resolute acceptance of life's responsibilities|With anger|With laughter|With a calm, resolute acceptance of life's responsibilities|MJC-5_U4_T4.7|30
50|What makes Stopping by Woods on a Snowy Evening one of the most famous poems in American literature?|Its universal appeal, perfect rhythmic craft, and rich symbolic depth|Its long length|Its political controversy|Its complex storyline|Its universal appeal, perfect rhythmic craft, and rich symbolic depth|MJC-5_U4_T4.7|30
