id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|Who wrote the play The Glass Menagerie?|Arthur Miller|Tennessee Williams|Eugene O'Neill|John Osborne|Tennessee Williams|MJC-5_U1_T1.1|30
2|What type of play is The Glass Menagerie defined as by its narrator?|A historical play|A memory play|A revenge tragedy|A comedy of humours|A memory play|MJC-5_U1_T1.1|30
3|Who serves as both the narrator and a character in The Glass Menagerie?|Jim O'Connor|Tom Wingfield|Mr. Wingfield|Amanda Wingfield|Tom Wingfield|MJC-5_U1_T1.1|30
4|What does Laura Wingfield's glass collection symbolize in the play?|Her wealth|Her fragility and isolation|Her higher education|Her social status|Her fragility and isolation|MJC-5_U1_T1.1|30
5|Which major prize did Tennessee Williams win for his dramatic works?|The Nobel Prize|The Booker Prize|The Pulitzer Prize|The National Book Award|The Pulitzer Prize|MJC-5_U1_T1.1|30
6|In what city is The Glass Menagerie set?|New York|Chicago|St. Louis|New Orleans|St. Louis|MJC-5_U1_T1.1|30
7|What is the name of Laura's mother in The Glass Menagerie?|Amanda Wingfield|Sethe|Beloved|Anne Bradstreet|Amanda Wingfield|MJC-5_U1_T1.1|30
8|What physical disability does Laura Wingfield have?|She is blind|She has a crippled leg and wears a brace|She is deaf|She uses a wheelchair|She has a crippled leg and wears a brace|MJC-5_U1_T1.1|30
9|What nickname did Jim give Laura in high school?|Blue Roses|Glass Girl|Unicorn|Sweetheart|Blue Roses|MJC-5_U1_T1.1|30
10|Where does Tom Wingfield work during the play?|A publishing house|A shoe warehouse|A retail store|A grocery shop|A shoe warehouse|MJC-5_U1_T1.1|30
11|Where does Tom spend most of his nights to escape his home reality?|At the local pub|At the movies|At the library|At his friend's house|At the movies|MJC-5_U1_T1.1|30
12|What specific figurine is Laura's favorite among her glass collection?|The Glass Dog|The Glass Horse|The Glass Unicorn|The Glass Swan|The Glass Unicorn|MJC-5_U1_T1.1|30
13|What happens to the glass unicorn while Laura and Jim are dancing?|It breaks its horn and becomes a regular horse|It shatters into tiny pieces|Laura gives it away to Amanda|Tom accidentally crushes it|It breaks its horn and becomes a regular horse|MJC-5_U1_T1.1|30
14|What is the name of the gentleman caller brought home by Tom?|Jim O'Connor|William Porter|Johnsy|Arthur Miller|Jim O'Connor|MJC-5_U1_T1.1|30
