id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|Who is the author of the short story Dry September?|William Faulkner|Ernest Hemingway|F. Scott Fitzgerald|John Steinbeck|William Faulkner|MJC-5_U3_T3.4|30
2|In which fictional county of Mississippi is the story set?|Yoknapatawpha County|Jefferson County|Cook County|Adams County|Yoknapatawpha County|MJC-5_U3_T3.4|30
3|What weather condition has gripped the town of Jefferson for sixty days?|Heavy rainfall|Severe drought and extreme heat|Freezing snowstorm|Dense fog|Severe drought and extreme heat|MJC-5_U3_T3.4|30
4|Where does the opening scene of the story take place?|A local church|A barber shop|The town square|A saloon|A barber shop|MJC-5_U3_T3.4|30
5|Who is the unmarried middle-aged woman at the center of the rumor?|Minnie Cooper|Louise King|Minnie May|Clara Allen|Minnie Cooper|MJC-5_U3_T3.4|30
6|Who is the Black man accused of attacking Minnie Cooper?|Will Mayes|Joe Christmas|Lucas Beauchamp|Tom Robinson|Will Mayes|MJC-5_U3_T3.4|30
7|What is Will Mayes's occupation in the town?|A cotton picker|An ice plant night watchman|A blacksmith|A carpenter|An ice plant night watchman|MJC-5_U3_T3.4|30
8|Who is the violent ex-soldier who leads the lynch mob against Will Mayes?|Hawkshaw|John McLendon|Henry Hawkshaw|Commander Stevens|John McLendon|MJC-5_U3_T3.4|30
9|What is the name of the barber who tries to defend Will Mayes and stop the mob?|Hawkshaw|McLendon|Stevens|Baker|Hawkshaw|MJC-5_U3_T3.4|30
10|How many numbered sections is the story Dry September divided into?|Three|Four|Five|Six|Five|MJC-5_U3_T3.4|30
11|How do the men in the barber shop react when Hawkshaw urges caution and truth?|They agree with him|They accuse him of siding with the Black man|They call the police|They ignore him completely|They accuse him of siding with the Black man|MJC-5_U3_T3.4|30
12|What weapon does John McLendon carry when he enters the barber shop?|A rifle|A shotgun|A pistol|A knife|A pistol|MJC-5_U3_T3.4|30
13|What is Hawkshaw doing when McLendon and the men leave the barber shop?|He accompanies them to try to stop the violence|He goes home to sleep|He calls the sheriff|He locks up his shop|He accompanies them to try to stop the violence|MJC-5_U3_T3.4|30
14|Where does Section II of the story focus on?|The ice plant|Minnie Cooper's life and history|McLendon's home|The local jail|Minnie Cooper's life and history|MJC-5_U3_T3.4|30
15|How is Minnie Cooper viewed by the younger generation in the town?|As a trendy socialite|As an old maid who has been passed by|As a respected teacher|As a wealthy heiress|As an old maid who has been passed by|MJC-5_U3_T3.4|30
16|Where do McLendon and his mob drive to capture Will Mayes?|To his house|To the ice plant|To the train station|To the woods|To the ice plant|MJC-5_U3_T3.4|30
17|How does Will Mayes react when the mob approaches him at his workplace?|He runs away into the night|He maintains his innocence and tries to reason|He attacks McLendon with a pipe|He surrenders quietly without a word|He maintains his innocence and tries to reason|MJC-5_U3_T3.4|30
18|What does Will Mayes do to Hawkshaw inside the car out of desperation?|He strikes Hawkshaw in the face|He asks him for money|He tries to choke him|He hugs him|He strikes Hawkshaw in the face|MJC-5_U3_T3.4|30
19|Why does Hawkshaw jump out of the moving car?|He wants to run get the sheriff|He realizes he cannot stop the lynching and wants no part in it|He gets struck by McLendon|He gets terrified of Will Mayes|He realizes he cannot stop the lynching and wants no part in it|MJC-5_U3_T3.4|30
20|What does Hawkshaw do after jumping out of the car into the dust?|He walks back toward town on foot|He faints on the road|He hitches a ride|He runs to the police station|He walks back toward town on foot|MJC-5_U3_T3.4|30
21|Where is Will Mayes taken by McLendon and the mob?|To the town square|To an abandoned brick kiln|To the river bank|To the county jail|To an abandoned brick kiln|MJC-5_U3_T3.4|30
22|What is the implied fate of Will Mayes at the hands of the mob?|He is released with a warning|He is handed over to the police|He is lynched and thrown down an abandoned kiln pit|He escapes into the swamp|He is lynched and thrown down an abandoned kiln pit|MJC-5_U3_T3.4|30
23|Where do Minnie Cooper's friends take her on Saturday night in Section IV?|To church|To a picture show at the movie theater|To a dance party|To a restaurant|To a picture show at the movie theater|MJC-5_U3_T3.4|30
24|What happens to Minnie Cooper while sitting in the movie theater?|She falls asleep|She suffers a hysterical laughing/crying breakdown|She leaves with a gentleman caller|She faints dead away|She suffers a hysterical laughing/crying breakdown|MJC-5_U3_T3.4|30
25|How do the women of the town treat Minnie Cooper after the rumor spreads?|They ostracize her|They give her central, dramatic attention and sympathy|They ignore her completely|They accuse her of lying|They give her central, dramatic attention and sympathy|MJC-5_U3_T3.4|30
26|What atmosphere pervades the entire narrative of Dry September?|Joyful and festive|Oppressive, dusty, and suffocating|Spiritual and peaceful|Mysterious and supernatural|Oppressive, dusty, and suffocating|MJC-5_U3_T3.4|30
27|Where does the final section (Section V) take place?|At the ice plant|In John McLendon's house|At the barber shop|In Minnie Cooper's bedroom|In John McLendon's house|MJC-5_U3_T3.4|30
