id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|Which word formation process involves creating a brand new word from scratch, usually for trade names?|Borrowing|Coinage|Compounding|Blending|Coinage|MJC-6_U3_T3.3|30
2|The process of taking over words from other languages is known as|Coinage|Borrowing|Clipping|Acronym|Borrowing|MJC-6_U3_T3.3|30
3|Joining two or more separate words to form a single new word (e.g., notebook) is called|Compounding|Blending|Clipping|Back-formation|Compounding|MJC-6_U3_T3.3|30
4|Combining the beginning of one word and the end of another (e.g., smoke + fog = smog) is known as|Compounding|Blending|Acronym|Conversion|Blending|MJC-6_U3_T3.3|30
5|Reducing a multisyllabic word to a shorter form without changing its meaning (e.g., advertisement to ad) is|Clipping|Back-formation|Coinage|Borrowing|Clipping|MJC-6_U3_T3.3|30
6|Creating a new word by removing a supposed affix from an existing word (e.g., editor to edit) is called|Clipping|Back-formation|Conversion|Blending|Back-formation|MJC-6_U3_T3.3|30
7|Changing the grammatical category of a word without adding any affix (e.g., using the noun butter as a verb) is|Conversion / Functional Shift|Derivation|Compounding|Coinage|Conversion / Functional Shift|MJC-6_U3_T3.3|30
8|Words formed from the initial letters of a set of words and pronounced as a single word (e.g., NATO, NASA) are|Initialisms|Acronyms|Clippings|Blends|Acronyms|MJC-6_U3_T3.3|30
9|Words formed from initial letters where each letter is pronounced individually (e.g., FBI, BBC, USA) are called|Acronyms|Alphabetisms / Initialisms|Clippings|Coinages|Alphabetisms / Initialisms|MJC-6_U3_T3.3|30
10|Words derived from the names of real or fictional persons or places (e.g., sandwich, boycott) are known as|Eponyms|Coinages|Borrowings|Acronyms|Eponyms|MJC-6_U3_T3.3|30
11|Which type of affix attaches to the beginning of a root or stem?|Suffix|Prefix|Infix|Circumfix|Prefix|MJC-6_U3_T3.3|30
12|Which type of affix attaches to the end of a root or stem?|Prefix|Suffix|Infix|Interfix|Suffix|MJC-6_U3_T3.3|30
13|An affix inserted inside the body of a root word is called an|Infix|Prefix|Suffix|Superfix|Infix|MJC-6_U3_T3.3|30
14|Which type of affix surrounds a root both at the front and back simultaneously?|Infix|Circumfix|Prefix|Suffix|Circumfix|MJC-6_U3_T3.3|30
