id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|What is a regional, temporal, or social variety of a language distinguished by vocabulary, grammar, and pronunciation?|Dialect|Idiolect|Accent|Jargon|Dialect|MJC-6_U1_T1.1.2|30
2|Which term refers to the unique, individual speech pattern and linguistic habits of a single person?|Sociolect|Dialect|Idiolect|Register|Idiolect|MJC-6_U1_T1.1.2|30
3|What term describes a variety of language used for a particular purpose or in a specific social/occupational context?|Register|Pidgin|Creole|Accent|Register|MJC-6_U1_T1.1.2|30
4|A simplified, contact language that develops between groups of people who do not share a common language is called a|Creole|Pidgin|Dialect|Sociolect|Pidgin|MJC-6_U1_T1.1.2|30
5|When a pidgin language is acquired as a mother tongue by a new generation of native speakers, it becomes a|Dialect|Creole|Standard language|Idiolect|Creole|MJC-6_U1_T1.1.2|30
6|Which term refers to a language variety that has undergone codification of grammar, vocabulary, and spelling for formal usage?|Standard Language|Contact Vernacular|Pidgin|Slang|Standard Language|MJC-6_U1_T1.1.2|30
7|An alternative term often used to describe a pidgin is|Lingua franca|Contact vernacular|Idiolect|Creole|Contact vernacular|MJC-6_U1_T1.1.2|30
8|Which statement is NOT true about dialects?|A dialect is a regional or social variety within a single language|A dialect is a variation of language|Dialect and sociolect are identical in every linguistic aspect|A dialect includes differences in vocabulary, grammar, and pronunciation|Dialect and sociolect are identical in every linguistic aspect|MJC-6_U1_T1.1.2|30
9|What term is used specifically for a dialect associated with a particular social class, age group, or ethnicity?|Geolect|Sociolect|Idiolect|Register|Sociolect|MJC-6_U1_T1.1.2|30
10|The process by which a pidgin language expands its vocabulary and grammar to become a native language is known as|Pidginization|Standardization|Creolization|Codification|Creolization|MJC-6_U1_T1.1.2|30
11|Which variety of language is primarily used in official documents, formal education, national news, and government administration?|Standard Language|Pidgin|Slang|Argot|Standard Language|MJC-6_U1_T1.1.2|30
12|The specialized technical vocabulary used by members of a specific profession or field is called|Slang|Jargon|Idiolect|Accent|Jargon|MJC-6_U1_T1.1.2|30
13|What is the main driver behind the initial creation of a pidgin language?|Writing literature|Trade and practical necessity|Poetic expression|Religious conversion|Trade and practical necessity|MJC-6_U1_T1.1.2|30
14|Which linguistic feature differs between accents and dialects?|Accent refers only to pronunciation, while dialect includes vocabulary and grammar|Accent includes grammar, while dialect includes only pronunciation|Accent is always spoken, while dialect is only written|Accents have no phonological rules|Accent refers only to pronunciation, while dialect includes vocabulary and grammar|MJC-6_U1_T1.1.2|30
15|In the study of pidgins and creoles, what is the language that supplies most of the vocabulary called?|Substrate language|Superstrate or Lexifier language|Target language|Vernacular|Superstrate or Lexifier language|MJC-6_U1_T1.1.2|30
16|In pidgin formation, the indigenous languages that heavily influence the grammatical structure are called|Substrate languages|Lexifier languages|Standard languages|Superstrate languages|Substrate languages|MJC-6_U1_T1.1.2|30
17|A situation where two distinct varieties of a language are used under different social conditions within a community is termed|Bilingualism|Diglossia|Code-switching|Creolization|Diglossia|MJC-6_U1_T1.1.2|30
18|When a speaker alternates between two or more languages or registers within a single conversation, it is called|Code-switching|Pidginization|Creolization|Standardization|Code-switching|MJC-6_U1_T1.1.2|30
19|Casual, highly informal words or expressions used in relaxed speech within specific peer groups are known as|Jargon|Slang|Register|Creole|Slang|MJC-6_U1_T1.1.2|30
20|Which level of language does a register primarily modify?|Only phonetics|Tone, vocabulary, and degree of formality based on context|Only spelling|Physical voice pitch|Tone, vocabulary, and degree of formality based on context|MJC-6_U1_T1.1.2|30
21|Which of the following is an example of a social register in English?|Formal academic register|Received Pronunciation|General American accent|Regional Yorkshire dialect|Formal academic register|MJC-6_U1_T1.1.2|30
22|A geographical or regional variety of a language is specifically called a|Sociolect|Geolect or Regional dialect|Idiolect|Register|Geolect or Regional dialect|MJC-6_U1_T1.1.2|30
23|Which of the following best describes an idiolect?|The standardized grammar of a nation|The unique speech habits of an individual speaker|A mixed trade language|A formal written register|The unique speech habits of an individual speaker|MJC-6_U1_T1.1.2|30
24|Can a pidgin language be anyone's native or first language?|Yes, always|No, a pidgin has no native speakers|Only in island nations|Yes, if used in education|No, a pidgin has no native speakers|MJC-6_U1_T1.1.2|30
25|What happens to a pidgin's grammatical structure when it evolves into a creole?|It becomes simplified further|It develops a full, complex grammar system|It drops all verbs|It adopts Latin grammar completely|It develops a full, complex grammar system|MJC-6_U1_T1.1.2|30
26|A boundary line drawn on a dialect map to mark the geographical limits of a particular linguistic feature is called an|Isogloss|Isotherm|Isobar|Isotope|Isogloss|MJC-6_U1_T1.1.2|30
27|Which process involves fixing the orthography, grammar rules, and dictionary definitions of a language?|Pidginization|Codification|Creolization|Variation|Codification|MJC-6_U1_T1.1.2|30
28|What term refers to a secret or private vocabulary used by a specific group, such as criminals, to prevent outsiders from understanding?|Argot|Creole|Sociolect|Pidgin|Argot|MJC-6_U1_T1.1.2|30
29|Jamaican Patois is a well-known example of a|Pidgin|English-based Creole|Standard Dialect|Idiolect|English-based Creole|MJC-6_U1_T1.1.2|30
30|Tok Pisin, spoken in Papua New Guinea, originally developed as a|Standard written language|Pidgin that became an official language|Secret argot|Regional accent|Pidgin that became an official language|MJC-6_U1_T1.1.2|30
31|What is the term for a common language used for communication between speakers of different native languages?|Lingua franca|Idiolect|Argot|Substrate|Lingua franca|MJC-6_U1_T1.1.2|30
32|Which factor is most responsible for the creation of regional dialects?|Geographical isolation and distance|Government decrees|Formal schooling|Lexicography|Geographical isolation and distance|MJC-6_U1_T1.1.2|30
33|Which factor is most responsible for the creation of sociolects?|Geographical barriers like mountains|Social stratification, class, age, and occupation|Syllable structure|Vocal tract anatomy|Social stratification, class, age, and occupation|MJC-6_U1_T1.1.2|30
34|In a diglossic community, the formal, prestigious variety used in literature and news is known as the|Low (L) variety|High (H) variety|Substrate variety|Pidgin variety|High (H) variety|MJC-6_U1_T1.1.2|30
