id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|आत्म-जागरूकता (Self-Awareness) का मुख्य अर्थ क्या है?|स्वयं के विचारों, भावनाओं और शक्तियों को जानना|दूसरों को नियंत्रित करना|केवल अपनी कमियों पर पर्दा डालना|हमेशा अपनी प्रशंसा करना|स्वयं के विचारों, भावनाओं और शक्तियों को जानना|AEC-4_U3_T3.1.2|30
2|सहानुभूति (Empathy) का क्या अर्थ है?|दूसरों की भावनाओं और दृष्टिकोण को समझना और अनुभव करना|दूसरों पर दया करना|दूसरों के काम में बाधा डालना|दूसरों से दूरी बनाए रखना|दूसरों की भावनाओं और दृष्टिकोण को समझना और अनुभव करना|AEC-4_U3_T3.1.2|30
3|सहानुभूति (Empathy) और समानुभूति/दया (Sympathy) में मुख्य अंतर क्या है?|सहानुभूति में दूसरों के जूते में पैर रखकर सोचना शामिल है|दोनों बिल्कुल समान हैं|दया में अधिक सम्मान होता है|सहानुभूति केवल दोस्तों के लिए होती है|सहानुभूति में दूसरों के जूते में पैर रखकर सोचना शामिल है|AEC-4_U3_T3.1.2|30
4|आत्म-जागरूकता जीवन कौशल (Life Skill) का कौन सा घटक है?|मूलभूत व्यक्तिगत कौशल|शारीरिक शक्ति|किताबी ज्ञान|केवल व्यावसायिक कौशल|मूलभूत व्यक्तिगत कौशल|AEC-4_U3_T3.1.2|30
5|जो व्यक्ति अपनी भावनात्मक आत्म-जागरूकता रखता है, वह क्या करने में सक्षम होता है?|अपनी भावनाओं को पहचानकर उन पर नियंत्रण रखना|अचानक गुस्सा करना|दूसरों पर दोष मढ़ना|भावनाओं को पूरी तरह दबा देना|अपनी भावनाओं को पहचानकर उन पर नियंत्रण रखना|AEC-4_U3_T3.1.2|30
6|जोहरी विंडो (Johari Window) मॉडल का उपयोग किस लिए किया जाता है?|आत्म-जागरूकता और पारस्परिक संबंधों को समझने के लिए|हथियार चलाने के लिए|मानचित्र अध्ययन के लिए|ड्रिल अभ्यास के लिए|आत्म-जागरूकता और पारस्परिक संबंधों को समझने के लिए|AEC-4_U3_T3.1.2|30
7|जोहरी विंडो (Johari Window) मॉडल में कितने चतुर्थांश (Quadrants) होते हैं?|दो|तीन|चार|पांच|चार|AEC-4_U3_T3.1.2|30
8|जोहरी विंडो का "ओपन एरिया" (Open Area) क्या दर्शाता है?|जो बातें स्वयं और दूसरों दोनों को पता हैं|जो केवल स्वयं को पता हैं|जो केवल दूसरों को पता हैं|जो किसी को नहीं पता|जो बातें स्वयं और दूसरों दोनों को पता हैं|AEC-4_U3_T3.1.2|30
9|जोहरी विंडो का "ब्लाइंड स्पॉट" (Blind Spot) क्या दर्शाता है?|जो बातें दूसरों को पता हैं पर स्वयं को नहीं|जो बातें केवल स्वयं को पता हैं|जो बातें दोनों को पता हैं|जो गुप्त हैं|जो बातें दूसरों को पता हैं पर स्वयं को नहीं|AEC-4_U3_T3.1.2|30
10|जोहरी विंडो का "हिडन एरिया" (Hidden Area) क्या दर्शाता है?|जो बातें स्वयं को पता हैं पर दूसरों से छिपाई गई हैं|जो बातें किसी को नहीं पता|जो सबको पता हैं|जो केवल शिक्षकों को पता हैं|जो बातें स्वयं को पता हैं पर दूसरों से छिपाई गई हैं|AEC-4_U3_T3.1.2|30
