id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|एनसीसी में शिविरों और प्रैक्टिकल अभ्यासों का प्राथमिक उद्देश्य क्या है?|केवल प्रमाण पत्र देना|व्यावहारिक सैन्य एवं नेतृत्व कौशल का विकास करना|केवल यात्रा कराना|किताबी ज्ञान रटाना|व्यावहारिक सैन्य एवं नेतृत्व कौशल का विकास करना|AEC-4_P2_TP.2.2|30
2|परेड ग्राउंड पर 'फ्लैग एरिया' (Flag Area) प्रतियोगिता का मुख्य उद्देश्य क्या होता है?|विभिन्न राज्यों/इकाइयों की संस्कृति और मॉडल का प्रदर्शन|केवल झंडा फहराना|केवल समय बिताना|खाना बनाना सिखाना|विभिन्न राज्यों/इकाइयों की संस्कृति और मॉडल का प्रदर्शन|AEC-4_P2_TP.2.2|30
3|एनसीसी कैडेटों के लिए प्राथमिक चिकित्सा (First Aid) अभ्यास का क्या महत्व है?|आपातकाल और दुर्घटनाओं के समय तुरंत जीवन रक्षा करना|अस्पताल चलाना|दवाइयों का निर्माण करना|केवल किताबी पढ़ाई|आपातकाल और दुर्घटनाओं के समय तुरंत जीवन रक्षा करना|AEC-4_P2_TP.2.2|30
4|ड्रिल और मार्चिंग में 'गार्ड ऑफ ऑनर' (Guard of Honour) किसे प्रदान किया जाता है?|विशिष्ट अतिथियों और वीआईपी (VIPs) को|प्रत्येक नए कैडेट को|सफाई कर्मचारियों को|केवल अध्यापकों को|विशिष्ट अतिथियों और वीआईपी (VIPs) को|AEC-4_P2_TP.2.2|30
5|गार्ड ऑफ ऑनर में कुल कितने कैडेट्स (वीआईपी के स्तरानुसार) शामिल होते हैं?|100 या 50 कैडेट्स|10 कैडेट्स|200 कैडेट्स|5 कैडेट्स|100 या 50 कैडेट्स|AEC-4_P2_TP.2.2|30
6|एनसीसी कैडेट्स द्वारा सामाजिक अभियानों के तहत 'नुक्कड़ नाटक' (Street Play) का आयोजन क्यों किया जाता है?|जन-सामान्य में सामाजिक मुद्दों पर जागरूकता फैलाने हेतु|केवल अभिनय का शौक पूरा करने|व्यापार करने|परेड से बचने|जन-सामान्य में सामाजिक मुद्दों पर जागरूकता फैलाने हेतु|AEC-4_P2_TP.2.2|30
7|फील्ड क्राफ्ट अभ्यास के दौरान 'सेंटी' (Sentry) या पहरेदार का मुख्य कर्तव्य क्या होता है?|कैंप की सुरक्षा करना और आने-जाने वालों पर नज़र रखना|सोना|खाना पकाना|सफाई करना|कैंप की सुरक्षा करना और आने-जाने वालों पर नज़र रखना|AEC-4_P2_TP.2.2|30
8|मैप रीडिंग प्रैक्टिकल के दौरान जमीन पर अपनी स्थिति पाने की प्रक्रिया को क्या कहते हैं?|ओरिएंटेशन और री-सेक्शन|केवल नक्शा मोड़ना|रेखाएं खींचना|रंग भरना|ओरिएंटेशन और री-सेक्शन|AEC-4_P2_TP.2.2|30
9|एनसीसी कैंपों में 'बड़ा खाना' (Bara Khana) का आयोजन किस अवसर पर किया जाता है?|कैंप के अंतिम दिन या विशेष उत्सव पर|हर रोज|कैंप के पहले दिन|केवल सुबह के समय|कैंप के अंतिम दिन या विशेष उत्सव पर|AEC-4_P2_TP.2.2|30
10|'बड़ा खाना' का मुख्य उद्देश्य क्या होता है?|कैडेट्स और अधिकारियों के बीच भाईचारा और अनौपचारिक तालमेल|केवल खाना बांटना|बजट खत्म करना|प्रतियोगिता कराना|कैडेट्स और अधिकारियों के बीच भाईचारा और अनौपचारिक तालमेल|AEC-4_P2_TP.2.2|30
11|फायरिंग अभ्यास के दौरान 'स्नैप शूटिंग' (Snap Shooting) का क्या अर्थ है?|अचानक प्रकट होने वाले लक्ष्य पर त्वरित और सटीक निशाना लगाना|धीमे-धीमे निशाना लगाना|आकाश में फायर करना|बिना देखे फायर करना|अचानक प्रकट होने वाले लक्ष्य पर त्वरित और सटीक निशाना लगाना|AEC-4_P2_TP.2.2|30
12|आपदा राहत अभ्यास (MOCK DRILL) कराने का मुख्य उद्देश्य क्या है?|वास्तविक आपदा के समय त्वरित और प्रभावी प्रतिक्रिया की तैयारी|केवल मनोरंजन|बच्चों को डराना|समय नष्ट करना|वास्तविक आपदा के समय त्वरित और प्रभावी प्रतिक्रिया की तैयारी|AEC-4_P2_TP.2.2|30
13|एनसीसी कैडेट्स द्वारा ट्रैफिक पुलिस की सहायता के लिए आयोजित अभ्यास को क्या कहते हैं?|ट्रैफिक ड्यूटी प्रैक्टिस / सड़क सुरक्षा अभियान|सैन्य अभ्यास|रैली|परेड अभ्यास|ट्रैफिक ड्यूटी प्रैक्टिस / सड़क सुरक्षा अभियान|AEC-4_P2_TP.2.2|30
14|सफाई अभियानों के दौरान 'श्रमदान' का क्या अर्थ है?|बिना किसी आर्थिक मुआवजे के स्वेच्छा से किया गया शारीरिक योगदान|पैसे देकर सफाई कराना|केवल फोटो खिंचवाना|दबाव में काम करना|बिना किसी आर्थिक मुआवजे के स्वेच्छा से किया गया शारीरिक योगदान|AEC-4_P2_TP.2.2|30
15|एनसीसी में 'पायलटिंग' (Piloting) का कार्य क्या होता है?|वीआईपी या मुख्य अतिथि को सम्मानपूर्वक मंच/स्थल तक ले जाना|हवाई जहाज उड़ाना|नाव चलाना|बस चलाना|वीआईपी या मुख्य अतिथि को सम्मानपूर्वक मंच/स्थल तक ले जाना|AEC-4_P2_TP.2.2|30
16|पायलटिंग करने वाले कैडेट्स का टर्नआउट और मार्चिंग कैसा होना चाहिए?|अत्यंत अनुशासित, स्मार्ट और सटीक|लापरवाह|धीमा|सामान्य नागरिकों जैसा|अत्यंत अनुशासित, स्मार्ट और सटीक|AEC-4_P2_TP.2.2|30
17|टेंट पिचिंग (Tent Pitching) अभ्यास में कैडेट्स क्या सीखते हैं?|अस्थायी आवास निर्माण और टीम वर्क|घर का नक्शा बनाना|इमारत की नींव खोदना|केवल रस्सी बांधना|अस्थायी आवास निर्माण और टीम वर्क|AEC-4_P2_TP.2.2|30
18|180 पाउंड टेंट या 40 पाउंड टेंट खड़ा करते समय सबसे पहले क्या ध्यान रखना चाहिए?|जमीन समतल और जल निकासी की व्यवस्था सही हो|केवल हवा की दिशा|केवल कपड़ा बिछाना|रंग चुनना|जमीन समतल और जल निकासी की व्यवस्था सही हो|AEC-4_P2_TP.2.2|30
19|साहसिक प्रशिक्षण (Adventure Training) के तहत 'पैरा स्लीदरिंग' (Para Slithering) में क्या कराया जाता है?|हेलीकॉप्टर से रस्सी के सहारे नीचे उतरना|पैराशूट से कूदना|पहाड़ पर चढ़ना|नदी पार करना|हेलीकॉप्टर से रस्सी के सहारे नीचे उतरना|AEC-4_P2_TP.2.2|30
