id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|ड्रिल (Drill) की शुरुआत सबसे पहले किस देश के जनरल द्वारा मानी जाती है?|भारत|जर्मनी|इंग्लैंड|अमेरिका|जर्मनी|AEC-4_P1_TP.1.1|30
2|जर्मनी के किस जनरल को ड्रिल की शुरुआत करने का श्रेय दिया जाता है?|जनरल ड्रॉयसन|जनरल बिस्मार्क|जनरल रोमेल|जनरल हिंडनबर्ग|जनरल ड्रॉयसन|AEC-4_P1_TP.1.1|30
3|जनरल ड्रॉयसन ने किस वर्ष सैनिकों को अनुशासित करने के लिए ड्रिल की शुरुआत की थी?|1666|1857|1948|1914|1666|AEC-4_P1_TP.1.1|30
4|ड्रिल की मुख्य परिभाषा क्या है?|सैनिकों को युद्ध सिखाना|किसी कार्यवाही को क्रमवार और बार-बार दोहराने की प्रक्रिया|केवल कदमताल करना|व्यायाम करने का तरीका|किसी कार्यवाही को क्रमवार और बार-बार दोहराने की प्रक्रिया|AEC-4_P1_TP.1.1|30
5|ड्रिल का मुख्य उद्देश्य (Aims of Drill) कैडेटों में किस गुण का विकास करना है?|अनुशासन, टर्नआउट और स्मार्टनेस|केवल शारीरिक शक्ति|युद्ध कला|हथियार चलाना|अनुशासन, टर्नआउट और स्मार्टनेस|AEC-4_P1_TP.1.1|30
6|ड्रिल कितने प्रकार की होती है?|दो (Open Drill और Close Drill)|तीन|चार|पांच|दो (Open Drill और Close Drill)|AEC-4_P1_TP.1.1|30
7|फील्ड एरिया (Field Area) या युद्ध क्षेत्र में की जाने वाली ड्रिल को क्या कहा जाता है?|Close Drill|Open Drill|Parade Drill|Night Drill|Open Drill|AEC-4_P1_TP.1.1|30
8|शांति काल में या परेड ग्राउंड (Parade Ground) पर की जाने वाली ड्रिल को क्या कहते हैं?|Open Drill|Close Drill|Field Drill|Tactical Drill|Close Drill|AEC-4_P1_TP.1.1|30
9|सावधान (Attention) की स्थिति में दोनों एड़ियों (Heels) के बीच की दूरी कितनी होती है?|0 इंच|6 इंच|12 इंच|18 इंच|0 इंच|AEC-4_P1_TP.1.1|30
10|सावधान स्थिति में दोनों पंजों (Toes) के बीच कितने डिग्री का कोण बनता है?|15 डिग्री|30 डिग्री|45 डिग्री|60 डिग्री|30 डिग्री|AEC-4_U1_T1.1|30
11|विश्राम (Stand at Ease) की स्थिति में दोनों एड़ियों (Heels) के बीच कितनी दूरी होती है?|6 इंच|12 इंच|18 इंच|24 इंच|12 इंच|AEC-4_P1_TP.1.1|30
12|विश्राम स्थिति में दोनों पंजों (Toes) के बीच की दूरी कितनी होती है?|12 इंच|18 इंच|24 इंच|6 इंच|18 इंच|AEC-4_P1_TP.1.1|30
13|आराम से (Relax / Stand Easy) का हुक्म किस स्थिति के बाद ही दिया जाता है?|सावधान|विश्राम|तेज चल|दौड़ के चल|विश्राम|AEC-4_P1_TP.1.1|30
14|ड्रिल के दौरान दाहिने मुड़ (Right Turn) पर कैडेट कितने डिग्री दाहिनी ओर मुड़ता है?|45 डिग्री|90 डिग्री|180 डिग्री|360 डिग्री|90 डिग्री|AEC-4_P1_TP.1.1|30
15|बायें मुड़ (Left Turn) का आदेश मिलने पर कैडेट कितने डिग्री बाईं ओर घूमता है?|45 डिग्री|90 डिग्री|180 डिग्री|270 डिग्री|90 डिग्री|AEC-4_P1_TP.1.1|30
16|पीछे मुड़ (About Turn) के आदेश पर कैडेट किस दिशा से और कितने डिग्री मुड़ता है?|दाहिने से 180 डिग्री|बायें से 180 डिग्री|दाहिने से 90 डिग्री|बायें से 90 डिग्री|दाहिने से 180 डिग्री|AEC-4_P1_TP.1.1|30
17|आधा दाहिने मुड़ (Half Right Turn) में कैडेट कितने डिग्री मुड़ता है?|30 डिग्री|45 डिग्री|90 डिग्री|135 डिग्री|45 डिग्री|AEC-4_P1_TP.1.1|30
18|आधा बायें मुड़ (Half Left Turn) में कितने डिग्री का मोड़ लिया जाता है?|45 डिग्री|90 डिग्री|60 डिग्री|180 डिग्री|45 डिग्री|AEC-4_P1_TP.1.1|30
19|वर्ड ऑफ कमांड (Word of Command) के मुख्य रूप से कितने भाग होते हैं?|एक|दो (Cautionary & Executive)|तीन|चार|दो (Cautionary & Executive)|AEC-4_P1_TP.1.1|30
20|वर्ड ऑफ कमांड का पहला भाग जो सावधान करने के लिए दिया जाता है, उसे क्या कहते हैं?|Executive|Cautionary (चेतावनी)|Action|Command|Cautionary (चेतावनी)|AEC-4_P1_TP.1.1|30
21|वर्ड ऑफ कमांड का वह भाग जिस पर तुरंत कार्यवाही की जाती है, उसे क्या कहते हैं?|Cautionary|Executive (कार्यकारी)|Warning|Instruction|Executive (कार्यकारी)|AEC-4_P1_TP.1.1|30
22|वर्ड ऑफ कमांड में "परेड" (Parade) शब्द क्या है?|Executive|Cautionary|नारा|कोई नहीं|Cautionary|AEC-4_P1_TP.1.1|30
23|वर्ड ऑफ COMMAND देते समय आवाज कैसी होनी चाहिए?|धीमी और अस्पष्ट|स्पष्ट, बुलंद और कड़क|चिल्लाती हुई|केवल फुसफुसाहट|स्पष्ट, बुलंद और कड़क|AEC-4_P1_TP.1.1|30
24|मार्चिंग (Marching) के दौरान 'तेज चल' में पहला कदम हमेशा किस पैर से निकलता है?|दाहिना पैर|बायां पैर|दोनों पैर एक साथ|कोई भी पैर|बायां पैर|AEC-4_P1_TP.1.1|30
25|सीनियर डिवीजन (SD) के कैडेट्स के लिए तेज चल में प्रति मिनट कितने कदम की चाल होती है?|110 कदम|116 कदम|120 कदम|135 कदम|120 कदम|AEC-4_P1_TP.1.1|30
26|गर्ल्स कैडेट्स (SW) के लिए तेज चल में प्रति मिनट कितने कदम की चाल होती है?|110 कदम|116 कदम|120 कदम|135 कदम|116 कदम|AEC-4_P1_TP.1.1|30
27|जूनियर डिवीजन (JD) के कैडेट्स के लिए तेज चल में प्रति मिनट कदम चाल कितनी होती है?|110 कदम|116 कदम|120 कदम|135 कदम|110 कदम|AEC-4_P1_TP.1.1|30
28|दौड़ के चल (Double March) में प्रति मिनट कितने कदम की चाल होती है?|120 कदम|140 कदम|180 कदम|200 कदम|180 कदम|AEC-4_P1_TP.1.1|30
29|धीमे चल (Slow March) में प्रति मिनट कितने कदम चले जाते हैं?|60 कदम|70 कदम|90 कदम|110 कदम|70 कदम|AEC-4_P1_TP.1.1|30
30|तेज चल में सामान्यतः एक कदम की लंबाई कितनी होती है?|12 इंच|21 इंच|30 इंच|40 इंच|30 इंच|AEC-4_P1_TP.1.1|30
