id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|राष्ट्रीय एकता को प्रभावित करने वाला सबसे प्रमुख आंतरिक कारक कौन सा है?|जातिवाद|व्यापार|शिक्षा|तकनीक|जातिवाद|AEC-4_U2_T2.2.1|30
2|सांप्रदायिकता (Communalism) से राष्ट्रीय एकता पर क्या प्रभाव पड़ता है?|सद्भाव बढ़ता है|सामाजिक विभाजन और हिंसा पैदा होती है|आर्थिक समृद्धि आती है|शिक्षा का विकास होता है|सामाजिक विभाजन और हिंसा पैदा होती है|AEC-4_U2_T2.2.1|30
3|क्षेत्रवाद (Regionalism) का क्या अर्थ है?|संपूर्ण देश से प्रेम|अपने क्षेत्र को राष्ट्र हित से ऊपर रखना|अंतरराष्ट्रीय व्यापार को बढ़ावा देना|विदेशी संस्कृति को अपनाना|अपने क्षेत्र को राष्ट्र हित से ऊपर रखना|AEC-4_U2_T2.2.1|30
4|भाषावाद (Linguism) राष्ट्रीय एकता के लिए किस प्रकार चुनौती बनता है?|भाषाओं का सम्मान करके|भाषा के आधार पर भेदभाव और संघर्ष पैदा करके|साहित्य का विकास करके|नए शब्दकोश बनाकर|भाषा के आधार पर भेदभाव और संघर्ष पैदा करके|AEC-4_U2_T2.2.1|30
5|आर्थिक विषमता (Economic Inequality) से समाज में क्या उत्पन्न होता है?|संतुष्टि और शांति|असंतोष और वर्ग संघर्ष|राष्ट्रीय गौरव|समानता|असंतोष और वर्ग संघर्ष|AEC-4_U2_T2.2.1|30
6|धर्मनिरपेक्षता का उल्लंघन करने से किस भावना को ठेस पहुँचती है?|राष्ट्रीय एकीकरण|व्यक्तिगत स्वार्थ|औद्योगीकरण|सैनिक शक्ति|राष्ट्रीय एकीकरण|AEC-4_U2_T2.2.1|30
7|जातिगत राजनीति (Caste-based Politics) का राष्ट्रीय एकता पर क्या असर होता है?|यह समाज को जाति के आधार पर बांटती है|यह लोकतंत्र को मजबूत करती है|यह वैज्ञानिक सोच बढ़ाती है|यह बेरोजगारी समाप्त करती है|यह समाज को जाति के आधार पर बांटती है|AEC-4_U2_T2.2.1|30
8|उग्रवाद और आतंकवाद (Extremism and Terrorism) से राष्ट्र को क्या खतरा है?|शांति और अखंडता को सीधा खतरा|आर्थिक विकास में तेजी|शिक्षा में सुधार|अंतरराष्ट्रीय पर्यटन में वृद्धि|शांति और अखंडता को सीधा खतरा|AEC-4_U2_T2.2.1|30
9|अशिक्षा और अज्ञानता राष्ट्रीय एकता में कैसे बाधा बनती हैं?|लोग आसानी से भ्रामक अफवाहों के शिकार हो जाते हैं|इससे तार्किक सोच बढ़ती है|यह सामाजिक समरसता लाती है|इससे राष्ट्रीय गौरव बढ़ता है|लोग आसानी से भ्रामक अफवाहों के शिकार हो जाते हैं|AEC-4_U2_T2.2.1|30
10|पूर्वोत्तर भारत में अलगाववाद (Separatism) का एक मुख्य कारण क्या रहा है?|संस्कृति का विकास|भौगोलिक पृथकता और विकास का अभाव|अत्यधिक औद्योगीकरण|समान अवसर|भौगोलिक पृथकता और विकास का अभाव|AEC-4_U2_T2.2.1|30
