id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|.22 राइफल की मज़ल वेलोसिटी (Muzzle Velocity) कितनी होती है?|2700 फीट/सेकंड|1030 फीट/सेकंड|1500 फीट/सेकंड|3000 फीट/सेकंड|1030 फीट/सेकंड|AEC-4_P1_TP.1.4|30
2|.22 राइफल की प्रभावी दूरी (Effective Range) कितनी होती है?|25 गज|50 गज|100 गज|300 गज|25 गज|AEC-4_P1_TP.1.4|30
3|.22 राइफल की अधिकतम दूरी (Maximum Range) कितनी होती है?|100 गज|500 गज|1700 गज|2000 गज|1700 गज|AEC-4_P1_TP.1.4|30
4|.22 राइफल Deluxe की कुल लंबाई कितनी होती है?|43 इंच|30 इंच|45 इंच|50 इंच|43 इंच|AEC-4_P1_TP.1.4|30
5|.22 राइफल Mark-IV की कुल लंबाई कितनी होती है?|43 इंच|45 इंच|30 इंच|48 इंच|45 इंच|AEC-4_P1_TP.1.4|30
6|.22 Deluxe राइफल का वजन कितना होता है?|6 पौंड 2 औंस|8 पौंड 10 औंस|5 पौंड|9 पौंड|6 पौंड 2 औंस|AEC-4_P1_TP.1.4|30
7|.22 Mark-IV राइफल का वजन कितना होता है?|8 पौंड 10 औंस|6 पौंड 2 औंस|9 पौंड 2 औंस|7 पौंड|8 पौंड 10 औंस|AEC-4_P1_TP.1.4|30
8|.22 Deluxe राइफल के मैगजीन की क्षमता (Magazine Capacity) कितनी होती है?|5 राउंड|10 राउंड|20 राउंड|15 राउंड|5 राउंड|AEC-4_P1_TP.1.4|30
9|.22 Mark-IV राइफल के मैगजीन की क्षमता कितनी होती है?|5 राउंड|10 राउंड|15 राउंड|20 राउंड|10 राउंड|AEC-4_P1_TP.1.4|30
10|.22 राइफल का कुत्तर/कैलिबर (Calibre) कितना होता है?|0.22 इंच|0.303 इंच|7.62 मिमी|5.56 मिमी|0.22 इंच|AEC-4_P1_TP.1.4|30
11|अच्छी फायरिंग के 3 मूल नियम (Principles of Good Firing) कौन से हैं?|मजबूत पकड़, दुरुस्त शिश्त, दुरुस्त ट्रिगर ऑपरेशन|तेज दौड़, तेज निशाना, तेज फायर|खड़े होना, झुकना, लेटना|सावधान, विश्राम, तेज चल|मजबूत पकड़, दुरुस्त शिश्त, दुरुस्त ट्रिगर ऑपरेशन|AEC-4_P1_TP.1.4|30
12|अच्छी फायरिंग के मूल नियमों को संक्षेप में क्या कहते हैं?|HAT|MPI|POA|POA|HAT|AEC-4_P1_TP.1.4|30
13|HAT नियम में 'H' का क्या अर्थ है?|Holding (मजबूत पकड़)|Aiming|Trigger Operation|Heating|Holding (मजबूत पकड़)|AEC-4_P1_TP.1.4|30
14|HAT नियम में 'A' का क्या अर्थ है?|Aiming (दुरुस्त शिश्त)|Action|Adjustment|Alignment|Aiming (दुरुस्त शिश्त)|AEC-4_P1_TP.1.4|30
