id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|آتش کی غزل گوئی پر کس شہر کی تہذیب اور دبستان کے اثرات سب سے زیادہ نمایاں ہیں؟|دبستانِ دہلی|دبستانِ لکھنؤ|دبستانِ دکن|دبستانِ عظیم آباد|دبستانِ لکھنؤ|MIC-4_U3_T3.1.3|30
2|آتش کی شاعری میں دبستانِ لکھنؤ کے اثر کے طور پر کون سا عنصر سب سے زیادہ پایا جاتا ہے؟|مرصع سازی اور زبان کی فصاحت|شدید حزن و قنوطیت|تصوف کی باریکیاں|داخلیت اور روتا ہوا انداز|مرصع سازی اور زبان کی فصاحت|MIC-4_U3_T3.1.3|30
3|لکھنوی طرزِ زندگی اور درباری محفلوں کے اثر سے آتش کی شاعری کا مجموعی مزاج کیسا ہوا؟|نشاطیہ اور سرور و شوخی سے پر|غم ناک اور اداس|زاہدانہ اور خشک|رزمیہ اور جنگجو|نشاطیہ اور سرور و شوخی سے پر|MIC-4_U3_T3.1.3|30
4|دبستانِ لکھنؤ کا اثر آتش کے ہاں کس قسم کی نگاری پر سب سے زیادہ نظر آتا ہے؟|سراپا نگاری اور ظاہری حسن کا بیان|قصیدہ نگاری|نوحہ نگاری|سائنس نگاری|سراپا نگاری اور ظاہری حسن کا بیان|MIC-4_U3_T3.1.3|30
5|آتش نے لکھنوی اسلوب کے مطابق شعر کو کیا قرار دیا ہے؟|شاعری مرصع سازی کا نام ہے|شاعری صرف ماتم ہے|شاعری صرف زہد ہے|شاعری تجارت ہے|شاعری مرصع سازی کا نام ہے|MIC-4_U3_T3.1.3|30
6|دبستانِ لکھنؤ کے اثر کے باوجود آتش نے اپنے کلام کو کس چیز سے محفوظ رکھا؟|عامیانہ پن اور ابتذال سے|فصاحت سے|روانی سے|ترنم سے|عامیانہ پن اور ابتذال سے|MIC-4_U3_T3.1.3|30
7|لکھنؤ کے نوابی ماحول کا اثر آتش کے غزل کے کس جزو پر سب سے زیادہ پڑا؟|روزمرہ، محاورے اور محفل آرائی پر|صرف دینی باتوں پر|صرف سفر نامے پر|جنگی مشقوں پر|روزمرہ، محاورے اور محفل آرائی پر|MIC-4_U3_T3.1.3|30
8|دبستانِ لکھنؤ کی شاعری کی کون سی صنعت آتش کے کلام میں متوازن انداز میں ملتی ہے؟|صنائع و بدائع اور رعایتِ لفظی|صرف ایہام گوئی|صرف ترجیع بند|صرف واسوخت|صنائع و بدائع اور رعایتِ لفظی|MIC-4_U3_T3.1.3|30
9|آتش نے دبستانِ لکھنؤ میں زبان کی پاکیزگی اور صحت کے لیے کس کا مقابلہ اپنی روانی سے کیا؟|امام بخش ناسخ|مصحفی|میر حسن|انشا|امام بخش ناسخ|MIC-4_U3_T3.1.3|30
10|آتش کے کلام میں لکھنوی اثرات کی وجہ سے محبوب کا تصور کیسا ہے؟|شوخ، جیوتا اور ظاہری زیبائش سے آراستہ|خیالی اور غیر مرئی|سفاک دشمن|صوفی باصفا|شوخ، جیوتا اور ظاہری زیبائش سے آراستہ|MIC-4_U3_T3.1.3|30
11|لکھنوی دبستان کی خارجی خصوصیت "خارجیت" آتش کی غزل میں کس روپ میں ظاہر ہوتی ہے؟|محبوب کے لباس، زیور اور رخسار کے متوازن بیان میں|صرف اندرونی آہوں میں|شہر کے بگاڑ میں|صرف بیماری کے ذکر میں|محبوب کے لباس، زیور اور رخسار کے متوازن بیان میں|MIC-4_U3_T3.1.3|30
12|دبستانِ لکھنؤ کے تحت آتش نے اپنی غزل میں کس زبان کی فصاحت کو اہمیت دی؟|لکھنوی محاورہ اور لکھنؤ کے روزمرہ کو|قدیم دکنی الفاظ کو|صرف سنسکرت کو|صرف عربی کو|لکھنوی محاورہ اور لکھنؤ کے روزمرہ کو|MIC-4_U3_T3.1.3|30
13|آتش کی شاعری میں لکھنوی چھاپ کے ساتھ کون سا زاتی اور ممتاز رنگ موجود ہے؟|ان کا مردانہ بن اور خود داری|ان کا روتا ہوا انداز|ان کی بزدلی|ان کی نقل پرستی|ان کا مردانہ بن اور خود داری|MIC-4_U3_T3.1.3|30
14|لکھنوی تہذیب کی رنگینی اور محفلوں کی چمک کا اثر آتش کے کس شعر میں واضح ہوتا ہے؟|یہ آرزو تھی تجھے گل کے روبرو کرتے|ہستی اپنی حباب کی سی ہے|دلِ ناداں تجھے ہوا کیا ہے|پتا پتا بوٹا بوٹا|یہ آرزو تھی تجھے گل کے روبرو کرتے|MIC-4_U3_T3.1.3|30
15|دبستانِ لکھنؤ کے شعرا نے اصلاحِ زبان کے لیے جو اقدامات کیے، آتش کا اس میں کیا حصہ تھا؟|انہوں نے غیر فصیح الفاظ نکال کر زبان کو شیریں اور شائستہ بنایا|انہوں نے فارسی کو مکمل ختم کر دیا|انہوں نے غزل کا وزن بدل دیا|انہوں نے صرف ہندی اپنائی|انہوں نے غیر فصیح الفاظ نکال کر زبان کو شیریں اور شائستہ بنایا|MIC-4_U3_T3.1.3|30
16|لکھنؤ کے اسلوب کا وہ کون سا پہلو ہے جو آتش کی غزلوں میں ترنم پیدا کرتا ہے؟|الفاظ کی خوبصورت ترتیب اور صوتی ہم آہنگی|سخت اور ثقیل الفاظ|قافیہ کا بار بار بگاڑنا|شعر کا غیر موزوں ہونا|الفاظ کی خوبصورت ترتیب اور صوتی ہم آہنگی|MIC-4_U3_T3.1.3|30
17|آتش کے کلام میں لکھنوی اثر کے تحت "سراپا نگاری" میں کس چیز کی رعایت رکھی گئی ہے؟|شائستگی اور جمالیاتی حدوں کی|عریانیت کی|بے ہودگی کی|نامکمل باتوں کی|شائستگی اور جمالیاتی حدوں کی|MIC-4_U3_T3.1.3|30
18|دبستانِ لکھنؤ کے اثر سے آتش کی غزل میں غم کا بیان کس طرح بدل گیا؟|غم کو بھی باوقار اور مسکراتے ہوئے جھیلا گیا|چیخ و پکار کی گئی|خودکشی کا ذکر ہوا|ماتم منایا گیا|غم کو بھی باوقار اور مسکراتے ہوئے جھیلا گیا|MIC-4_U3_T3.1.3|30
