id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|شاد عظیم آبادی کا اصل نام کیا تھا؟|علی محمد|محمد علی|محمد حسن|سید محمد|علی محمد|MIC-4_U3_T3.2.1|30
2|شاد عظیم آبادی کس شہر میں پیدا ہوئے؟|عظیم آباد (پٹنہ)|لکھنؤ|دہلی|آگرہ|عظیم آباد (پٹنہ)|MIC-4_U3_T3.2.1|30
3|غزل "اب بھی ایک عمر پہ جینے کا نہ انداز آیا" کا مطلع کس شاعر کا ہے؟|شاد عظیم آبادی|میر تقی میر|مرزا غالب|خواجہ حیدر علی آتش|شاد عظیم آبادی|MIC-4_U3_T3.2.1|30
4|مطلع "اب بھی ایک عمر پہ جینے کا نہ انداز آیا / زندگی چھوڑ گئی ________ پرواز آیا" میں خالی جگہ پر صحیح لفظ کیا ہوگا؟|بال و پرِ|دست و پاۓ|حیرت و|فکر و|بال و پرِ|شاد عظیم آبادی|MIC-4_U3_T3.2.1|30
5|شاد عظیم آبادی کی اس غزل کی ردیف کیا ہے؟|آیا|انداز آیا|پرواز آیا|سایا|آیا|MIC-4_U3_T3.2.1|30
6|غزل میں "انداز، پرواز، آواز، راز" کس حیثیت سے استعمال ہوئے ہیں؟|قافیہ|ردیف|تخلص|بحر|قافیہ|MIC-4_U3_T3.2.1|30
7|غزل کے مطلع میں "زندگی چھوڑ گئی بال و پرِ پرواز آیا" سے کیا مراد ہے؟|موت یا اختتامِ زندگی کے قریب آ کر زندگی کی حقیقت یا شعور ملنا|پرواز کی مشق کرنا|پرندے کا اڑنا|سفر کی شروعات کرنا|موت یا اختتامِ زندگی کے قریب آ کر زندگی کی حقیقت یا شعور ملنا|MIC-4_U3_T3.2.1|30
8|شعر: "دل میں اک آبلۂ آبلہ پا ایسا تھا / جو کبھی پھوٹ کے رویا تو ________ آیا" میں خالی جگہ بھریں۔|سرِ آواز|لبِ آواز|دلِ آواز|رخِ آواز|سرِ آواز|MIC-4_U3_T3.2.1|30
9|شاد کی اس غزل کا بنیادی فکری و فلسفیانہ پہلو کیا ہے؟|زندگی کی ناپائیداری، بے ثباتی اور خود شناسی کا احساس|صرف عاشقانہ وصل کا بیان|جنگ کے حالات|حکمرانوں کی مدح|زندگی کی ناپائیداری، بے ثباتی اور خود شناسی کا احساس|MIC-4_U3_T3.2.1|30
10|شاد عظیم آبادی کو حکومتِ ہند (برطانوی حکومت) سے کون سا خطاب ملا تھا؟|خان بہادر|شمس العلماء|نواب|سیرت العصر|خان بہادر|MIC-4_U3_T3.2.1|30
