id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|میر تقی میر کی شاعری کی سب سے نمایاں اور بنیادی خصوصیت کیا ہے؟|سوز و گداز اور داخلیت|خارجیت اور شوخی|قصیدہ گوئی|صرف رزم نگاری|سوز و گداز اور داخلیت|MIC-4_U2_T2.2.3|30
2|اردو ادب میں میر تقی میر کو کس عظیم الشان لقب سے یاد کیا جاتا ہے؟|خدائے سخن|شاعرِ مشرق|لسان العصر|طوطیِ ہند|خدائے سخن|MIC-4_U2_T2.2.3|30
3|میر کی غزل میں "دلی درد" اور "سوز و گداز" کی بنیادی وجہ کیا بتائی جاتی ہے؟|میر کے ذاتی صدمات اور شہر دہلی کی بربادی|شاہی دربار کی مصروفیات|سیاسی عہدوں کی ہوس|غیر ملکی اسفار|میر کے ذاتی صدمات اور شہر دہلی کی بربادی|MIC-4_U2_T2.2.3|30
4|میر کے کلام کے اسلوبِ بیان کو اصطلاح میں کیا کہا جاتا ہے؟|سہلِ ممتنع|صنائع بدائع|ایہام گوئی|طرزِ خاقانی|سہلِ ممتنع|MIC-4_U2_T2.2.3|30
5|میر کی شاعری میں "غمِ ذات" اور "غمِ کائنات" کا تعلق کیسا ہے؟|غمِ ذات اور غمِ کائنات ایک دوسرے میں گھل مل گئے ہیں|دونوں میں کوئی تعلق نہیں|صرف غمِ ذات ہے|صرف سیاسی غم ہے|غمِ ذات اور غمِ کائنات ایک دوسرے میں گھل مل گئے ہیں|MIC-4_U2_T2.2.3|30
6|میر کے کلام کے اشعار کو ان کے شدید اور اثر انگیز تاثر کی وجہ سے کیا کہا گیا ہے؟|نشتر|تیر|تلوار|پتھر|نشتر|MIC-4_U2_T2.2.3|30
7|میر کی غزل کی زبان و بیان کی بڑی خوبی کیا ہے؟|عام فہم، سلیس اور محاورہ نسواں و روزمرہ کی چاشنی|صرف ثقیل فارسی الفاظ|عربی کی پیچیدہ تراکیب|سنسکرت کے مشکل شلوک|عام فہم، سلیس اور محاورہ نسواں و روزمرہ کی چاشنی|MIC-4_U2_T2.2.3|30
8|میر نے اپنے کلام میں کس صوفیانہ احساس کو بڑی خوبصورتی سے پرویا ہے؟|دنیا کی ناپائیداری اور بے ثباتی|مادیت پرستی|تکبر|سائنس پرستی|دنیا کی ناپائیداری اور بے ثباتی|MIC-4_U2_T2.2.3|30
9|میر تقی میر کا تعلق کس دبستانِ غزل سے ہے جس کے وہ سب سے بڑے ستون ہیں؟|دبستانِ دہلی|دبستانِ لکھنؤ|دبستانِ عظیم آباد|دبستانِ دکن|دبستانِ دہلی|MIC-4_U2_T2.2.3|30
10|میر کے ہاں عشق کا تصور کیسا ہے؟|ایک پاکیزہ، سنجیدہ، باوقار اور جان لیوا جذبہ|ایک عارضی اور بازاری مشغلہ|ایک تجارتی سودا|ایک بزدلانہ عمل|ایک پاکیزہ، سنجیدہ، باوقار اور جان لیوا جذبہ|MIC-4_U2_T2.2.3|30
11|میر تقی میر کے کلام میں تشبیہات کی نوعیت کیسی ہے؟|فطری، سادہ، حسی اور دلکش|مصنوعی اور بناوٹی|صرف دور از کار|غیر منطقی|فطری، سادہ، حسی اور دلکش|MIC-4_U2_T2.2.3|30
12|میر کی شاعری کا صوتی آہنگ اور نغمگی کیسی ہے؟|دھیمی، حزن انگیز اور دل میں اترنے والی|پرشور اور نعرہ بازی والی|رزمیہ اور سخت|غیر موزوں|دھیمی، حزن انگیز اور دل میں اترنے والی|MIC-4_U2_T2.2.3|30
13|شعر: "پتا پتا بوٹا بوٹا حال ہمارا جانے ہے" میں میر کے کلام کی کون سی خصوصیت ظاہر ہوتی ہے؟|فطرت کے ساتھ یکدلی اور سادگیِ بیان|صرف الفاظ کا جوڑ توڑ|مشکل قواعد|درباری خوشامد|فطرت کے ساتھ یکدلی اور سادگیِ بیان|MIC-4_U2_T2.2.3|30
14|میر تقی میر کی غزلوں میں "سادگی میں پرکاری" سے کیا مراد ہے؟|بظاہر آسان الفاظ میں انتہائی گہرا اور وسيع مضمون سونا|مشکل الفاظ سے آسان بات کہنا|قافیہ کی نمائش کرنا|شعر کو لمبا کرنا|بظاہر آسان الفاظ میں انتہائی گہرا اور وسيع مضمون سونا|MIC-4_U2_T2.2.3|30
15|میر کے کلام میں "احساسِ محرومی" کا بیان کس انداز میں ہوتا ہے؟|شائستگی، خود داری اور وقار کے ساتھ|چیخ و پکار کر کے|بددعا دے کر|دشمن کے سامنے گر کر|شائستگی، خود داری اور وقار کے ساتھ|MIC-4_U2_T2.2.3|30
16|میر نے اپنے کلام میں انسانی زندگی کو کن تشبیہات سے سجايا ہے؟|حباب، سراب، خواب اور شرار کی تشبیہات سے|پتھر اور لوہے کی تشبیہات سے|پہاڑ اور سمندر سے|سونے اور ہیرے سے|حباب، سراب، خواب اور شرار کی تشبیہات سے|MIC-4_U2_T2.2.3|30
17|میر کے کلام میں "عزتِ نفس" اور خود داری کی کیا اہمیت ہے؟|میر نے فقر و فاقہ میں بھی اپنی خود داری کو قائم رکھا|میر نے امیری کے لیے خود داری چھوڑ دی|میر نے درباری بننا پسند کیا|میر خود داری کو برا مانتے تھے|میر نے فقر و فاقہ میں بھی اپنی خود داری کو قائم رکھا|MIC-4_U2_T2.2.3|30
18|مرزا غالب نے میر تقی میر کی شاعرانہ عظمت کا اعتراف کس شعر میں کیا؟|ریختے کے تمہی استاد نہیں ہو غالب / کہتے ہیں اگلے زمانے میں کوئی میر بھی تھا|دلِ ناداں تجھے ہوا کیا ہے|یہ مسائلِ تصوف یہ تیرا بیان غالب|ہوئے مر کے ہم جو رسوا|ریختے کے تمہی استاد نہیں ہو غالب / کہتے ہیں اگلے زمانے میں کوئی میر بھی تھا|MIC-4_U2_T2.2.3|30
19|میر کے کلام میں "رمزیت اور اشاریت" کا کیا مقام ہے؟|یہ اشعار میں معنوی گہرائی اور مختلف ابعاد پیدا کرتی ہے|یہ شعر کو بالکل بے معنی بناتی ہے|اس سے صرف قافیہ بنتا ہے|اس کا کوئی مقصد نہیں|یہ اشعار میں معنوی گہرائی اور مختلف ابعاد پیدا کرتی ہے|MIC-4_U2_T2.2.3|30
20|میر نے اپنے کلام میں کس قسم کی تشبیہات سے مکمل پرہیز کیا ہے؟|دور از کار، پیچیدہ اور غیر مانوس تشبیہات سے|سادہ تشبیہوں سے|حسی تشبیہوں سے|گل و بلبل کی روایتی تشبیہوں سے|دور از کار، پیچیدہ اور غیر مانوس تشبیہات سے|MIC-4_U2_T2.2.3|30
21|میر کی شاعری میں "غم" کو کیا حیثیت حاصل ہے؟|غم زندگی کا ایک بڑا سچ اور ارتقائی ذریعہ ہے|غم صرف ایک بیماری ہے|غم سے بچنا چاہیے|غم کا کوئی وجود نہیں|غم زندگی کا ایک بڑا سچ اور ارتقائی ذریعہ ہے|MIC-4_U2_T2.2.3|30
22|میر کے کلام کے کل کتنے اردو دیوان مرتب ہوئے؟|چھ دیوان|دو دیوان|چار دیوان|آٹھ دیوان|چھ دیوان|MIC-4_U2_T2.2.3|30
23|میر کی غزل کا ہر شعر معنوی اعتبار سے کیسا ہوتا ہے؟|اپنی جگہ ایک خود مختار اور کامل اکائی|ایک درمیانی نامکمل جملہ|قصیدے کا محتاج|ایک طویل داستان کا حصہ|اپنی جگہ ایک خود مختار اور کامل اکائی|MIC-4_U2_T2.2.3|30
