id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|دبستانِ دہلی کی غزل گوئی کا بنیادی اور مرکزی رجحان کیا ہے؟|داخلیت اور سوز و گداز|خارجیت اور عیش کوشی|صرف لفظی ثقالت|صرف شوخی و ابتذال|داخلیت اور سوز و گداز|MIC-4_U1_T1.2.1|30
2|دبستانِ دہلی کے اشعار میں کس تاریخی و سیاسی صورتِ حال کا عکس نمایاں ہے؟|شہر دہلی کی بربادی اور سیاسی انتشار|جنگِ پلاسی کی فتح|نوابینِ اودھ کی خوشحالی|انگریزوں کا باقاعدہ تسلط|شہر دہلی کی بربادی اور سیاسی انتشار|MIC-4_U1_T1.2.1|30
3|دبستانِ دہلی کے شعرا کے ہاں کس کیفیت کا غلبہ پایا جاتا ہے؟|حزن و قنوطیت اور غمِ روزگار|بے جا نشاط اور ہنسی مذاق|صرف جنگی ترانے|سائنس اور سائنس شناسی|حزن و قنوطیت اور غمِ روزگار|MIC-4_U1_T1.2.1|30
4|دبستانِ دہلی کی زبان و بیان کا بنیادی سلیقہ کیا ہے؟|سادہ، سلیس، اور بے ساختہ انداز|انتہائی پیچیدہ اور معمہ نما الفاظ|سنسکرت کے مشکل شلوک|صرف عامیانہ بولی|سادہ، سلیس، اور بے ساختہ انداز|MIC-4_U1_T1.2.1|30
5|تصوف اور صوفیانہ خیالات کس دبستانِ غزل کا بنیادی طرۂ امتیاز ہیں؟|دبستانِ دہلی|دبستانِ لکھنؤ|دبستانِ عظیم آباد|دبستانِ پنجاب|دبستانِ دہلی|MIC-4_U1_T1.2.1|30
6|دبستانِ دہلی کے کس غزل گو شاعر کو "خدائے سخن" کہا گیا ہے؟|میر تقی میر|مرزا غالب|خواجہ میر درد|مرزا سودا|میر تقی میر|MIC-4_U1_T1.2.1|30
7|صوفی شاعر کی حیثیت سے دبستانِ دہلی میں سب سے ممتاز مقام کس کا ہے؟|خواجہ میر درد|میر تقی میر|مومن خان مومن|شیخ ابراہیم ذوق|خواجہ میر درد|MIC-4_U1_T1.2.1|30
8|غزل اور قصیدہ دونوں اصناف پر یکساں قدرت رکھنے والے دہلوی شاعر کون ہیں؟|مرزا محمد رفیع سودا|خواجہ میر درد|بہادر شاہ ظفر|میر سوز|مرزا محمد رفیع سودا|MIC-4_U1_T1.2.1|30
9|فکر و فلسفہ اور جدتِ ادراک کے لیے دبستانِ دہلی کے کون سے شاعر مشہور ہیں؟|مرزا اسد اللہ خان غالب|ذوق|مومن|میر تقی میر|مرزا اسد اللہ خان غالب|MIC-4_U1_T1.2.1|30
10|دبستانِ دہلی کی غزل میں محبوب کا تصور کیسا پیش کیا گیا ہے؟|باوقار، شریف، اور پردہ نشین|بازاری اور عامیانہ|صرف ایک تجارتی شراکت دار|ایک جابر سپاہی|باوقار، شریف، اور پردہ نشین|MIC-4_U1_T1.2.1|30
11|معاملہ بندی اور نازک خیالی کس دہلوی غزل گو کا خاصہ ہے؟|مومن خان مومن|خواجہ میر درد|مرزا سودا|شاہ حاتم|مومن خان مومن|MIC-4_U1_T1.2.1|30
12|استادِ شاہ بہادر شاہ ظفر، شیخ ابراہیم ذوق کا تعلق کس دبستان سے تھا؟|دبستانِ دہلی|دبستانِ لکھنؤ|دبستانِ دکن|دبستانِ بہار|دبستانِ دہلی|MIC-4_U1_T1.2.1|30
13|دبستانِ دہلی کی غزل میں "سوز و گداز" سے کیا مراد ہے؟|دل کا سچا درد اور حزن انگیز کیفیت|خوشی اور مسرت کا اظہار|صرف لفظی الٹ پھیر|جنگی نعرے|دل کا سچا درد اور حزن انگیز کیفیت|MIC-4_U1_T1.2.1|30
14|اٹھارویں صدی میں ایہام گوئی کے خلاف اصلاحی تحریک کس دبستان نے چلائی؟|دبستانِ دہلی|دبستانِ لکھنؤ|دبستانِ لاہور|دبستانِ حیدرآباد|دبستانِ دہلی|MIC-4_U1_T1.2.1|30
15|اصلاحِ زبان کے سلسلہ میں دہلی میں دیوانِ زادہ کی تدوین کس نے کی؟|شاہ حاتم|مرزا مظہر جانِ جاناں|میر تقی میر|مرزا غالب|شاہ حاتم|MIC-4_U1_T1.2.1|30
