id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|غزل "سن تو سہی جہاں میں ہے تیرا فسانہ کیا" کس شاعر کی تخلیق ہے؟|خواجہ حیدر علی آتش|میر تقی میر|مرزا غالب|مصحفی|خواجہ حیدر علی آتش|MIC-4_U3_T3.1.1|30
2|آتش کی غزل کا پہلا شعر "سن تو سہی جہاں میں ہے تیرا فسانہ کیا / کہتی ہے تجھ کو خلقِ خدا غائبانہ کیا" اصطلاح میں کیا کہلاتا ہے؟|مطلع|مقطع|حسنِ مطلع|شاہ بیت|مطلع|MIC-4_U3_T3.1.1|30
3|مطلع کے دوسرے مصرعے میں "خلقِ خدا" کا کیا مطلب ہے؟|دنیا کے لوگ / مخلوق|صرف فرشتے|درباری لوگ|سیاست دان|دنیا کے لوگ / مخلوق|MIC-4_U3_T3.1.1|30
4|شعر: "کہتی ہے تجھ کو خلقِ خدا ________ کیا" میں صحیح قافیہ کیا ہے؟|غائبانہ|عاشقانہ|شاعرانہ|صوفیانہ|غائبانہ|MIC-4_U3_T3.1.1|30
5|غزل "سن تو سہی جہاں میں ہے تیرا فسانہ کیا" کی ردیف کیا ہے؟|کیا|فسانہ کیا|غائبانہ کیا|ہے|کیا|MIC-4_U3_T3.1.1|30
6|غزل میں کون سا لفظ ردیف سے پہلے قافیہ کے طور پر استعمال ہوا ہے؟|فسانہ، غائبانہ، زاہدانہ، غافلانہ|دنیا، عقبیٰ، صحرا، دریا|گل، بلبل، ملول، قبول|باران، جان، جانان، پریشان|فسانہ، غائبانہ، زاہدانہ، غافلانہ|MIC-4_U3_T3.1.1|30
7|شعر: "پیغام بر نہ دل کو بنا ________ / بتلا کہ تجھ کو چاہیے کافر نشانہ کیا" میں خالی جگہ بھریں۔|عاقلانہ|غافلانہ|زاہدانہ|عاشقانہ|غافلانہ|MIC-4_U3_T3.1.1|30
8|شعر: "کیا شمع کے حضور میں پروانہ ________" میں صحیح لفظ کیا ہے؟|آئے|جائے|کرے|کہے|آئے|MIC-4_U3_T3.1.1|30
9|آتش نے شمع کے سامنے پروانے کی آمد کا ذکر کرتے ہوئے کس اندازِ گفتگو کا اظہار کیا ہے؟|بے زبانی اور خاموش قربانی|بغاوت|تکبر|استدلال|بے زبانی اور خاموش قربانی|MIC-4_U3_T3.1.1|30
10|خواجہ حیدر علی آتش کا تعلق کس دبستانِ غزل گوئی سے ہے؟|دبستانِ لکھنؤ|دبستانِ دہلی|دبستانِ دکن|دبستانِ عظیم آباد|دبستانِ لکھنؤ|MIC-4_U3_T3.1.1|30
11|شعر: "بے سجدہ سوئے کعبہ نہ جا ________" میں خالی جگہ میں کیا لفظ آئے گا؟|زاہدانہ|غافلانہ|جاہلانہ|عارفانہ|زاہدانہ|MIC-4_U3_T3.1.1|30
12|شعر: "بے سجدہ سوئے کعبہ نہ جا زاہدانہ کیا" میں زاہد کو کس چیز کی نصیحت کی گئی ہے؟|سچی عقیدت اور سجدے کی|مال جمع کرنے کی|سفر چھوڑنے کی|عبادت نہ کرنے کی|سچی عقیدت اور سجدے کی|MIC-4_U3_T3.1.1|30
13|آتش کی اس غزل میں "کافر" سے کیا مراد ہے؟|محبوبِ سنگ دل|دشمن|غیر ملکی|زاہد|محبوبِ سنگ دل|MIC-4_U3_T3.1.1|30
14|غزل "سن تو سہی جہاں میں ہے تیرا فسانہ کیا" کی بحر کا بنیادی مزاج کیسا ہے؟|سلیس، ترنم ریز اور نغماتی|بوجھل اور پیچیدہ|غیر موزوں|سخت اور خشکا|سلیس، ترنم ریز اور نغماتی|MIC-4_U3_T3.1.1|30
15|شعر: "مقصود گردِ راہِ طلب ہے ________" میں خالی جگہ پور کریں۔|روانہ|خزانہ|آشیانہ|فسانہ|خزانہ|MIC-4_U3_T3.1.1|30
16|آتش کے نزدیک طلب کی راہ کی خاک یا گرد کس چیز کے برابر ہے؟|خزانے کے برابر|مٹی کے برابر|پتھر کے برابر|پانی کے برابر|خزانے کے برابر|MIC-4_U3_T3.1.1|30
17|شعر: "پوچھ اس سے جو کہ زلف کا تیرا ________" میں خالی جگہ کیا ہے؟|اسیر ہے|فقیر ہے|منیر ہے|امیر ہے|اسیر ہے|MIC-4_U3_T3.1.1|30
18|آتش کے مطابق محبوب کی زلف کا گرفتار شخص زندگی کے کس انداز سے واقف ہے؟|عشق کی الجھنوں اور کیفیت سے|تجارتی منافع سے|شاہی امور سے|علمِ نجوم سے|عشق کی الجھنوں اور کیفیت سے|MIC-4_U3_T3.1.1|30
19|شعر: "اے آتش! اس کے سامنے جا کر ________" میں اتش نے مقطع میں کیا بات کہی ہے؟|حضورِ محبوب میں گفتگو کا سلیقہ اور ادائی|درباری مدح|جنگ کا چیلنج|سفر کی تیاری|حضورِ محبوب میں گفتگو کا سلیقہ اور ادائی|MIC-4_U3_T3.1.1|30
20|خواجہ حیدر علی آتش کے والد کا نام کیا تھا؟|خواجہ علی بخش|خواجہ محمد بخش|خواجہ احمد بخش|خواجہ حسین بخش|خواجہ علی بخش|MIC-4_U3_T3.1.1|30
21|خواجہ حیدر علی آتش کا وطنِ اصلی کہاں تھا، جہاں سے ان کے بزرگ فیض آباد آئے؟|دہلی|آگرہ|لاہور|پٹنہ|دہلی|MIC-4_U3_T3.1.1|30
