id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|دبستانِ لکھنؤ کی غزل گوئی کا بنیادی اور نمایاں پہلو کیا ہے؟|داخلیت اور سوز و گداز|خارجیت، رعایتِ لفظی اور نشاطیہ انداز|صرف تصوف|صرف قنوطیت|خارجیت، رعایتِ لفظی اور نشاطیہ انداز|MIC-4_U1_T1.2.2|30
2|دبستانِ لکھنؤ کا قیام کس اہم سیاسی و تاریخی صورتِ حال کے بعد عمل میں آیا؟|شہر دہلی کے زوال اور شعرا کی ہجرت|جنگِ پلاسی|1857ء کا غدر|برطانوی فتحِ ہند|شہر دہلی کے زوال اور شعرا کی ہجرت|MIC-4_U1_T1.2.2|30
3|دبستانِ لکھنؤ کی غزل میں کس چیز کی عکاسی سب سے زیادہ ملتی ہے؟|درباری عیش و عشرت، محفل آرائی اور شوخی|غمِ روزگار اور بربادی|صرف صوفیانہ خیالات|جنگ و جدل|درباری عیش و عشرت، محفل آرائی اور شوخی|MIC-4_U1_T1.2.2|30
4|زبان کی صفائی، صحتِ الفاظ اور روزمرہ کے استعمال پر کس دبستان کے شعرا نے زیادہ زور دیا؟|دبستانِ دہلی|دبستانِ لکھنؤ|دبستانِ دکن|دبستانِ عظیم آباد|دبستانِ لکھنؤ|MIC-4_U1_T1.2.2|30
5|دبستانِ لکھنؤ کی غزل میں محبوب کا تصور کیسا ہے؟|پردہ نشین اور معنوی|بازاری، شوخ اور سراپا نگاری پر مبنی|فرضی فرشتہ|تصوف پر مبنی|بازاری، شوخ اور سراپا نگاری پر مبنی|MIC-4_U1_T1.2.2|30
6|دبستانِ لکھنؤ کے کس عظیم شاعر کو "شاعرِ قدرتناک" اور "لسان العصر" کہا جاتا ہے؟|خواجہ حیدر علی آتش|امام بخش ناسخ|مصحفی|مرزا شوق|خواجہ حیدر علی آتش|MIC-4_U1_T1.2.2|30
7|اصلاحِ زبان اور قواعدِ اردو پر سختی سے عمل کرنے کے لیے دبستانِ لکھنؤ کا کون سا شاعر مشہور ہے؟|امام بخش ناسخ|آتش|میر حسن|انشا|امام بخش ناسخ|MIC-4_U1_T1.2.2|30
8|دبستانِ لکھنؤ میں "آتش و ناسخ" کے دور کو کیا کہا جاتا ہے؟|ابتدائی دور|عہدِ زریں|زوال کا دور|جدید دور|عہدِ زریں|MIC-4_U1_T1.2.2|30
9|غزل میں "رعایتِ لفظی" اور "صنائع بدائع" کا کثرت سے استعمال کس دبستان کی پہچان ہے؟|دبستانِ دہلی|دبستانِ لکھنؤ|دبستانِ پنجاب|دبستانِ بہار|دبستانِ لکھنؤ|MIC-4_U1_T1.2.2|30
10|دبستانِ لکھنؤ کی غزل میں "خارجیت" سے کیا مراد ہے؟|ظاہری حسن، سراپا، محفل اور لباس کا بیان|دل کے اندرونی جذبات|صوفیانہ مشاہدات|فلسفیانہ خیالات|ظاہری حسن، سراپا، محفل اور لباس کا بیان|MIC-4_U1_T1.2.2|30
11|شعر: "ہوا ہے شاہ کا مصاحب فرائے ہے اتراتا" انداز کے شوخ مضامین کس دبستان کا حصہ ہیں؟|دبستانِ لکھنؤ|دبستانِ دہلی|دبستانِ دکن|دبستانِ لاہور|دبستانِ لکھنؤ|MIC-4_U1_T1.2.2|30
12|دبستانِ دہلی اور دبستانِ لکھنؤ کے درمیان لسانی و ادبی پل کا کام کرنے والے شاعر کون ہیں؟|غلام ہمدانی مصحفی اور انشا اللہ خان انشا|میر تقی میر|خواجہ میر درد|مرزا غالب|غلام ہمدانی مصحفی اور انشا اللہ خان انشا|MIC-4_U1_T1.2.2|30
13|دبستانِ لکھنؤ کی شاعری میں کس نوابی دور کی عیش کوشی کا اثر دکھائی دیتا ہے؟|نوابانِ اودھ|مغلیہ سلطنت|نظامِ حیدرآباد|قطب شاہی سلطنت|نوابانِ اودھ|MIC-4_U1_T1.2.2|30
14|سید انشا اللہ خان انشا کی شاعری کا بنیادی رنگ کیا ہے؟|شوخی، ظرافت اور جدتِ طبع|غم و الم|صوفیانہ معنویت|سنجیدگی|شوخی، ظرافت اور جدتِ طبع|MIC-4_U1_T1.2.2|30
15|شیخ قلندر بخش جرات کس دبستان سے تعلق رکھتے تھے؟|دبستانِ دہلی|دبستانِ لکھنؤ|دبستانِ دکن|دبستانِ عظیم آباد|دبستانِ لکھنؤ|MIC-4_U1_T1.2.2|30
16|جرات کی غزل گوئی کا سب سے نمایاں موضوع کیا تھا؟|معاملہ بندی اور چوما چاٹی کا بیان|تصوف|حکمت و فلسفہ|قصیدہ گوئی|معاملہ بندی اور چوما چاٹی کا بیان|MIC-4_U1_T1.2.2|30
17|دبستانِ لکھنؤ کی غزل کا مجموعی تاثر کیسا ہے؟|نشاطیہ، رنگین اور پرشکوہ|غمناک اور قنوطی|روحانی اور تارک الدنیا|سادہ اور بے رنگ|نشاطیہ، رنگین اور پرشکوہ|MIC-4_U1_T1.2.2|30
18|خواجہ حیدر علی آتش کی غزل کی سب سے بڑی خصوصیت کیا ہے؟|رنگین بیانی کے ساتھ قلبی واردات اور مرصع سازی|صرف خشک قواعد|صرف ابتذال|قنوطیت|رنگین بیانی کے ساتھ قلبی واردات اور مرصع سازی|MIC-4_U1_T1.2.2|30
19|"شاعری مرصع سازی کا نام ہے" یہ قول کس لکھنوی شاعر کی طرف منسوب ہے؟|خواجہ حیدر علی آتش|امام بخش ناسخ|مصحفی|انشا|خواجہ حیدر علی آتش|MIC-4_U1_T1.2.2|30
