id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|Who wrote the poem The Sunne Rising?|John Milton|John Donne|Ben Jonson|Thomas Middleton|John Donne|MJC-7_U2_T2.1|30
2|What literary classification is given to John Donne's poetry?|Romantic|Metaphysical|Restoration|Victorian|Metaphysical|MJC-7_U2_T2.1|30
3|In what tone does the speaker address the sun in the opening line of The Sunne Rising?|Humble and respectful|Scornful, insolent, and authoritative|Mournful and sad|Religious and prayerful|Scornful, insolent, sports-like|MJC-7_U2_T2.1|30
4|What insults does the speaker use against the sun in the opening stanza?|Busy old fool, unruly sun|Glorious star, golden light|Cruel monster, dark shadow|Lazy giant, cold spirit|Busy old fool, unruly sun|MJC-7_U2_T2.1|30
5|Where are the speaker and his beloved lying during the poem?|In a garden|In a church|In bed inside their bedroom|On a ship|In bed inside their bedroom|MJC-7_U2_T2.1|30
6|Whose motion does the speaker say should be governed by the sun, rather than lovers?|Kings and queens|Late schoolboys, sour prentices, and court-huntmen|Fairy spirits|Ancient gods|Late schoolboys, sour prentices, and court-huntmen|MJC-7_U2_T2.1|30
7|According to the speaker, does love alter with seasons or hours?|Yes, love changes daily|No, love no season knows nor clime, nor hours, days, months|Yes, love only thrives in summer|Only during nighttime|No, love no season knows nor clime, nor hours, days, months|MJC-7_U2_T2.1|30
8|What reason does the speaker give for why he could eclipse and cloud the sun's beams with a wink?|He has magical powers|He can simply close his eyes|He can draw the curtains|He can blow out a candle|He can simply close his eyes|MJC-7_U2_T2.1|30
9|Why does the speaker choose NOT to close his eyes to eclipse the sun?|He is afraid of the dark|Because he would lose sight of his beloved for that moment|The sun would blind him|His beloved asked him not to|Because he would lose sight of his beloved for that moment|MJC-7_U2_T2.1|30
10|Where does the speaker claim all the spices and mines of India are located now?|Across the ocean|In the East and West Indies|Right beside him in his bed with his beloved|In the king's treasury|Right beside him in his bed with his beloved|MJC-7_U2_T2.1|30
11|What bold claim does the speaker make about himself and his beloved in Stanza 3?|She is all states, and all princes I|They are poor beggars|They are angels in heaven|They are servants of the king|She is all states, and all princes I|MJC-7_U2_T2.1|30
12|How does the speaker describe all earthly princes and rulers compared to him and his beloved?|Superior and powerful|Mere imitators or play-actors comparing to them|Wise and just|Cruel tyrants|Mere imitators or play-actors comparing to them|MJC-7_U2_T2.1|30
13|What is all wealth and honor compared to the speaker's love, according to the poem?|All honor's mimic, all wealth alchemy|True happiness|The highest achievement|Permanent security|All honor's mimic, all wealth alchemy|MJC-7_U2_T2.1|30
14|How does the speaker say the sun can fulfill its duty of warming the entire world?|By shining on all seven continents|By warming the lovers' bed and room|By rising higher in the sky|By shining brighter at noon|By warming the lovers' bed and room|MJC-7_U2_T2.1|30
15|What metaphor is used when the speaker tells the sun that this bed thy center is, these walls...|Thy kingdom|Thy sphere|Thy cage|Thy prison|Thy sphere|MJC-7_U2_T2.1|30
